,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Metabolic Pathways
NP-022-507-715_F_filt.fastq.gz,ZooplanktonW1,0.007734352,0.007734352,0.002101052,0.001735932,0.001600119,0.001600119,0.001786858,0.00154111,0.00154111,0.001759958,0.001520229,0.001506258,0.00139197,0.00140079,0.001236523
NP-023-508-715_F_filt.fastq.gz,ZooplanktonW1,0.007219535,0.007219535,0.001947161,0.001762782,0.001770886,0.001770886,0.001830539,0.001713994,0.001713994,0.002227329,0.001200639,0.001482484,0.001513022,0.001668403,0.001360037
NP-024-510-716_F_filt.fastq.gz,ZooplanktonW1,0.007508691,0.007508691,0.002043912,0.001821239,0.001666175,0.001666175,0.001788051,0.001606462,0.001606462,0.001928884,0.001426282,0.001520302,0.001432985,0.001422889,0.001285934
NP-025-513-716_F_filt.fastq.gz,ZooplanktonW1,0.007565305,0.007565305,0.002061587,0.001758241,0.001632499,0.001632499,0.001808676,0.001574665,0.001574665,0.001904037,0.001436786,0.00150552,0.001410051,0.001447488,0.001260608
NP-026-515-716_F_filt.fastq.gz,ZooplanktonW1,0.007373711,0.007373711,0.002095447,0.001799021,0.001794938,0.001794938,0.001747152,0.001720239,0.001720239,0.001639807,0.00156599,0.00159628,0.001544239,0.001493399,0.001371973
NP-027-516-716_F_filt.fastq.gz,ZooplanktonW1,0.007323997,0.007323997,0.002111165,0.001812496,0.001839042,0.001839042,0.001733496,0.001759299,0.001759299,0.001568419,0.001596813,0.00162259,0.001579312,0.001510285,0.001397407
NP-028-517-716_F_filt.fastq.gz,ZooplanktonW1,0.007473962,0.007473962,0.002107465,0.001786315,0.001750845,0.001750845,0.001756244,0.001678336,0.001678336,0.001638397,0.0015623,0.001579553,0.001509457,0.00146878,0.0013349
NP-029-518-716_F_filt.fastq.gz,ZooplanktonW1,0.007350493,0.007350493,0.002064231,0.001753768,0.001851176,0.001851176,0.001726942,0.00177688,0.00177688,0.001669455,0.001528835,0.001621548,0.001586811,0.001508684,0.001423711
NP-030-520-716_F_filt.fastq.gz,ZooplanktonW1,0.007600536,0.007600536,0.002098971,0.001762677,0.001665099,0.001665099,0.001783002,0.001600479,0.001600479,0.001727576,0.001515533,0.001533829,0.001440566,0.001435052,0.001275522
NP-031-521-716_F_filt.fastq.gz,ZooplanktonW1,0.00763336,0.00763336,0.002076155,0.001736938,0.001628572,0.001628572,0.001791233,0.001569927,0.001569927,0.001796967,0.001476727,0.00149596,0.001413429,0.001416832,0.001235153
NP-032-522-716_F_filt.fastq.gz,ZooplanktonW1,0.007531113,0.007531113,0.002090959,0.001777962,0.001648446,0.001648446,0.001810681,0.0015884,0.0015884,0.001837212,0.001441099,0.001506247,0.001423192,0.001464768,0.001270042
NP-034-502-716_F_filt.fastq.gz,ZooplanktonW1,0.006964716,0.006964716,0.001917309,0.001609664,0.002134599,0.002134599,0.00162145,0.002061086,0.002061086,0.001833158,0.001431261,0.001740282,0.001805444,0.001624084,0.001704469
NP-041-513-718_F_filt.fastq.gz,ArtemiaW2,0.007568932,0.007568932,0.0020924,0.001746894,0.001604616,0.001604616,0.001790584,0.001545132,0.001545132,0.001762833,0.001516077,0.001512086,0.001391507,0.001404387,0.001236425
NP-042-515-718_F_filt.fastq.gz,ArtemiaW2,0.007420945,0.007420945,0.002060786,0.001789934,0.001637252,0.001637252,0.00178283,0.001577648,0.001577648,0.001842268,0.001483056,0.001519916,0.001411153,0.001412333,0.001261448
NP-043-516-718_F_filt.fastq.gz,ArtemiaW2,0.00761822,0.00761822,0.002098943,0.001741867,0.001601826,0.001601826,0.001790058,0.001541878,0.001541878,0.001750598,0.001521491,0.001512184,0.001390843,0.001401843,0.001233079
NP-044-517-718_F_filt.fastq.gz,ArtemiaW2,0.007073238,0.007073238,0.002074983,0.001773298,0.001607909,0.001607909,0.00176118,0.00154868,0.00154868,0.001748101,0.001580759,0.001526184,0.001385099,0.00140799,0.001236507
NP-045-518-719_F_filt.fastq.gz,ArtemiaW2,0.007044447,0.007044447,0.002062697,0.001779761,0.001619216,0.001619216,0.001762007,0.00156005,0.00156005,0.001777303,0.001562101,0.001530053,0.001393834,0.001413638,0.001248506
NP-046-520-719_F_filt.fastq.gz,ArtemiaW2,0.005856974,0.005856974,0.002107991,0.001725486,0.001534018,0.001534018,0.00169819,0.001475881,0.001475881,0.001455295,0.00188479,0.001555504,0.001315809,0.001406164,0.001178469
NP-047-521-719_F_filt.fastq.gz,ArtemiaW2,0.007340486,0.007340486,0.002011877,0.001877291,0.001700189,0.001700189,0.001774453,0.001639717,0.001639717,0.002017437,0.001402036,0.001538867,0.001453379,0.001419388,0.001312259
NP-048-522-719_F_filt.fastq.gz,ArtemiaW2,0.007052105,0.007052105,0.002101888,0.001740086,0.001576983,0.001576983,0.001758551,0.001517848,0.001517848,0.001660028,0.00163932,0.001523944,0.001363366,0.001400189,0.001211616
NP-049-502-719_F_filt.fastq.gz,ArtemiaW2,0.00748466,0.00748466,0.002093693,0.001738957,0.00159573,0.00159573,0.001785646,0.001536308,0.001536308,0.00174242,0.00153673,0.001511335,0.001384501,0.001403765,0.001228889
NP-050-503-719_F_filt.fastq.gz,ArtemiaW2,0.006719834,0.006719834,0.002097573,0.001748311,0.001578087,0.001578087,0.001741495,0.001518818,0.001518818,0.001624336,0.001693539,0.001535592,0.001359324,0.001406069,0.001211951
NP-051-505-719_F_filt.fastq.gz,ZooplanktonW2,0.00698664,0.00698664,0.00212228,0.001876654,0.002043566,0.002043566,0.001684172,0.001946298,0.001946298,0.001399764,0.001673794,0.001724008,0.001740716,0.001603065,0.001538472
NP-052-506-719_F_filt.fastq.gz,ZooplanktonW2,0.006831596,0.006831596,0.002104674,0.001877244,0.002143677,0.002143677,0.001658924,0.002040503,0.002040503,0.0013652,0.001673691,0.001770721,0.001818193,0.001644341,0.001612788
NP-053-507-719_F_filt.fastq.gz,ZooplanktonW2,0.006822151,0.006822151,0.002124208,0.0019047,0.002135507,0.002135507,0.001661818,0.00203047,0.00203047,0.00132723,0.001704814,0.001768448,0.001813168,0.001645828,0.001601642
NP-054-508-719_F_filt.fastq.gz,ZooplanktonW2,0.006843261,0.006843261,0.002125946,0.001899101,0.002128073,0.002128073,0.001657678,0.002024347,0.002024347,0.001332749,0.001714181,0.001764855,0.001808087,0.001642437,0.001602257
NP-055-510-719_F_filt.fastq.gz,ZooplanktonW2,0.006777814,0.006777814,0.002127064,0.001914622,0.002165584,0.002165584,0.001655028,0.002058004,0.002058004,0.001302498,0.001716919,0.001783575,0.001836861,0.001659625,0.001622651
NP-056-511-720_F_filt.fastq.gz,ZooplanktonW2,0.006675389,0.006675389,0.00212984,0.001934557,0.0022294,0.0022294,0.001640342,0.002116475,0.002116475,0.001252156,0.001739116,0.001814611,0.001887128,0.001688544,0.00166709
NP-057-513-720_F_filt.fastq.gz,ZooplanktonW2,0.006186126,0.006186126,0.00199669,0.001875446,0.002453425,0.002453425,0.001605485,0.002329433,0.002329433,0.001416491,0.001622137,0.001903779,0.002064695,0.001762363,0.001861537
NP-058-515-720_F_filt.fastq.gz,ZooplanktonW2,0.006390901,0.006390901,0.002039304,0.001853065,0.002476122,0.002476122,0.001571463,0.002355434,0.002355434,0.001273715,0.001663664,0.001929211,0.002075801,0.001768984,0.001868199
NP-059-516-720_F_filt.fastq.gz,ZooplanktonW2,0.007104918,0.007104918,0.002115509,0.001843673,0.001971243,0.001971243,0.001685224,0.001882241,0.001882241,0.001465519,0.00167333,0.001687964,0.001686175,0.001573663,0.001503486
NP-060-517-720_F_filt.fastq.gz,ZooplanktonW2,0.006970949,0.006970949,0.002121558,0.001877573,0.002048088,0.002048088,0.001684078,0.001950764,0.001950764,0.00140434,0.001670999,0.00172512,0.001743679,0.001608376,0.00154197
NP-061-518-720_F_filt.fastq.gz,ZooplanktonW2,0.007065662,0.007065662,0.002108752,0.001858635,0.001979486,0.001979486,0.001708112,0.001888832,0.001888832,0.001491761,0.001621052,0.001686016,0.001688088,0.001582581,0.001494833
NP-062-520-721_F_filt.fastq.gz,ZooplanktonW2,0.00761639,0.00761639,0.002104114,0.001753854,0.00167751,0.00167751,0.001758549,0.001613356,0.001613356,0.001699213,0.001570255,0.001545528,0.001455325,0.001439157,0.001300602
NP-063-521-720_F_filt.fastq.gz,ZooplanktonW2,0.006812237,0.006812237,0.002120151,0.001905573,0.002140291,0.002140291,0.001663386,0.00203572,0.00203572,0.001344225,0.001699111,0.001768974,0.001816994,0.001650931,0.001609815
NP-064-522-720_F_filt.fastq.gz,ZooplanktonW2,0.007103063,0.007103063,0.002102378,0.001847222,0.001926561,0.001926561,0.001721435,0.001841555,0.001841555,0.001551606,0.001589186,0.00165241,0.001646271,0.00157247,0.001461246
NP-065-502-720_F_filt.fastq.gz,ZooplanktonW2,0.006696652,0.006696652,0.002097882,0.001899657,0.002143564,0.002143564,0.001656913,0.002040036,0.002040036,0.001366754,0.001679862,0.001762537,0.001818589,0.001663185,0.001613129
NP-068-506-721_F_filt.fastq.gz,ZooplanktonW3,0.007458529,0.007458529,0.002324527,0.00176187,0.001543867,0.001543867,0.001793311,0.001482266,0.001482266,0.001402923,0.001852743,0.001537634,0.001362334,0.001373105,0.001182426
NP-069-507-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-070-508-721_F_filt.fastq.gz,ZooplanktonW3,0.004676374,0.004676374,0.001850659,0.001422859,0.002270934,0.002270934,0.001568572,0.002093599,0.002093599,0.00131677,0.002857792,0.001765332,0.001847965,0.001450075,0.002203421
NP-071-510-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-073-513-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-074-515-704_F_filt.fastq.gz,ZooplanktonW3,0.007424079,0.007424079,0.002351043,0.001764845,0.00153839,0.00153839,0.001793105,0.001476498,0.001476498,0.001359879,0.001894211,0.001541963,0.001359942,0.001370629,0.001177686
NP-076-517-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-077-518-721_F_filt.fastq.gz,ZooplanktonW3,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-078-522-722_F_filt.fastq.gz,ZooplanktonW3,0.011475008,0.011475008,0.003088747,0.001683151,0.001641159,0.001641159,0.001884058,0.001571131,0.001571131,0.001415878,0.00161079,0.001278551,0.00141413,0.001208996,0.001258693
NP-080-520-722_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-081-502-722_F_filt.fastq.gz,ZooplanktonW3,0.007591541,0.007591541,0.002222147,0.001750383,0.001565013,0.001565013,0.001794109,0.001504537,0.001504537,0.001569115,0.001692633,0.00152092,0.001371569,0.001382664,0.001200728
NP-083-505-722_F_filt.fastq.gz,ZooplanktonW3,0.007196095,0.007196095,0.002409986,0.001792318,0.001570088,0.001570088,0.001805155,0.001506728,0.001506728,0.001256774,0.001980472,0.001560256,0.001388194,0.001394436,0.001203846
NP-084-506-722_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-085-507-722_F_filt.fastq.gz,ZooplanktonW3,0.006875814,0.006875814,0.002290724,0.001804575,0.00159585,0.00159585,0.001882195,0.001524098,0.001524098,0.001725283,0.001748984,0.001538183,0.001426096,0.001410236,0.001317162
NP-086-508-722_F_filt.fastq.gz,ZooplanktonW3,0.005806742,0.005806742,0.001955645,0.001780459,0.001803481,0.001803481,0.001909409,0.001742137,0.001742137,0.001798408,0.001448928,0.001594351,0.001560494,0.001458749,0.001401774
NP-087-510-722_F_filt.fastq.gz,ArtemiaW3,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-088-511-722_F_filt.fastq.gz,ArtemiaW3,0.00549324,0.00549324,0.002293517,0.001754463,0.00157792,0.00157792,0.001686706,0.001505033,0.001505033,0.001136126,0.002315126,0.001643632,0.001350769,0.001406577,0.001263025
NP-090-515-723_F_filt.fastq.gz,ArtemiaW3,0.0073898,0.0073898,0.002155914,0.001719477,0.001627167,0.001627167,0.001777641,0.001557738,0.001557738,0.001594447,0.001747916,0.001536135,0.001409043,0.001390034,0.001286004
NP-091-516-723_F_filt.fastq.gz,ArtemiaW3,0.004877957,0.004877957,0.001594173,0.001931665,0.002127148,0.002127148,0.001913234,0.002078136,0.002078136,0.003026241,0.001034509,0.001653373,0.001774964,0.00182862,0.001785084
NP-093-518-728_F_filt.fastq.gz,ArtemiaW3,0.002473938,0.002473938,0.002172405,0.001836723,0.001407074,0.001407074,0.001534355,0.001349049,0.001349049,0.000992951,0.002637705,0.001764763,0.001164876,0.001458388,0.001075727
NP-094-520-728_F_filt.fastq.gz,ArtemiaW3,0.007541454,0.007541454,0.002107282,0.001734728,0.001582481,0.001582481,0.001783866,0.001523415,0.001523415,0.001724413,0.001551206,0.001505671,0.001373871,0.001393863,0.001216186
NP-095-521-728_F_filt.fastq.gz,ArtemiaW3,0.006939578,0.006939578,0.002182454,0.001784813,0.001668889,0.001668889,0.001836142,0.001601926,0.001601926,0.001645125,0.001689113,0.001549231,0.001464866,0.001428483,0.001335666
NP-096-522-728_F_filt.fastq.gz,ArtemiaW3,0.007239001,0.007239001,0.002105829,0.001733053,0.001572237,0.001572237,0.001768526,0.001513378,0.001513378,0.001675668,0.001611705,0.001514473,0.001362381,0.001395661,0.001207836
NP-097-502-723_F_filt.fastq.gz,ArtemiaW3,0.007723656,0.007723656,0.002097699,0.001736374,0.001594223,0.001594223,0.001794362,0.001535019,0.001535019,0.001765193,0.001504909,0.001501442,0.001385994,0.001395158,0.001230258
NP-098-503-723_F_filt.fastq.gz,ArtemiaW3,0.00703119,0.00703119,0.001840231,0.001834521,0.001913537,0.001913537,0.001873626,0.001852881,0.001852881,0.002149677,0.001060819,0.001509471,0.001611483,0.001613091,0.001493571
NP-099-505-723_F_filt.fastq.gz,ArtemiaW3,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-102-508-724_F_filt.fastq.gz,ArtemiaW3,0.007663101,0.007663101,0.002143912,0.001757467,0.001588074,0.001588074,0.001798447,0.00152825,0.00152825,0.001686884,0.001605355,0.001515239,0.001378108,0.00138783,0.001219911
NP-103-510-724_F_filt.fastq.gz,ArtemiaW3,0.007604617,0.007604617,0.002111637,0.001747525,0.001614629,0.001614629,0.001788252,0.001554053,0.001554053,0.001732449,0.00156044,0.001516187,0.001402844,0.001403892,0.00125095
NP-104-511-724_F_filt.fastq.gz,ArtemiaW3,0.004000144,0.004000144,0.001640773,0.001788658,0.002012599,0.002012599,0.001765243,0.001941016,0.001941016,0.002183066,0.00154588,0.001652972,0.001735748,0.001609331,0.001910004
NP-105-513-724_F_filt.fastq.gz,ArtemiaW3,0.005953987,0.005953987,0.00217375,0.001748201,0.001557779,0.001557779,0.001721262,0.001498249,0.001498249,0.001384694,0.00192812,0.001559938,0.001341351,0.001417476,0.001196149
NP-106-515-724_F_filt.fastq.gz,ArtemiaW3,0.007731381,0.007731381,0.002101142,0.001737002,0.001590143,0.001590143,0.001794171,0.001530997,0.001530997,0.001762682,0.001507531,0.00150226,0.0013825,0.001394354,0.001222792
NP-121-503-727_F_filt.fastq.gz,ZooplanktonW4,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-122-505-727_F_filt.fastq.gz,ZooplanktonW4,0.004265524,0.004265524,0.002454542,0.002777428,0.001941321,0.001941321,0.002350235,0.001911147,0.001911147,0.00299322,1.60E-06,0.001000882,0.00159395,0.002575333,0.001544288
NP-123-506-727_F_filt.fastq.gz,ZooplanktonW4,0.005709977,0.005709977,0.00137695,0.00192156,0.001853755,0.001853755,0.001945657,0.001815965,0.001815965,0.003826458,0.000449193,0.001450847,0.001551254,0.002010265,0.001525269
NP-126-510-728_F_filt.fastq.gz,ZooplanktonW4,0.006795727,0.006795727,0.002321112,0.001733613,0.001681448,0.001681448,0.001767563,0.001599978,0.001599978,0.001266307,0.002119872,0.001592841,0.001461248,0.001403277,0.001362672
NP-128-513-728_F_filt.fastq.gz,ZooplanktonW4,0.005635552,0.005635552,0.001982409,0.001811114,0.00191854,0.00191854,0.001848236,0.001848481,0.001848481,0.002164499,0.001716493,0.001633413,0.00162798,0.001614361,0.001621195
NP-129-515-728_F_filt.fastq.gz,ZooplanktonW4,0.005297453,0.005297453,0.001135206,0.0016634,0.002362306,0.002362306,0.001690241,0.002296618,0.002296618,0.002408586,0.001307861,0.001792171,0.001989555,0.001606227,0.002101507
NP-133-520-723_F_filt.fastq.gz,ZooplanktonW4,0.007493263,0.007493263,0.002495072,0.001774034,0.001517974,0.001517974,0.001811103,0.001454354,0.001454354,0.001137698,0.002106418,0.001550969,0.001343011,0.001347897,0.001160022
NP-135-522-729_F_filt.fastq.gz,ZooplanktonW4,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-141-508-729_F_filt.fastq.gz,ArtemiaW4,0.006392113,0.006392113,0.002106264,0.001740934,0.001797782,0.001797782,0.00175212,0.001736712,0.001736712,0.00137502,0.001795762,0.001509087,0.001555038,0.001454913,0.001605413
