Treatment,Pathway,ASV_Relative_Abundance,SD,SE
ZooplanktonW1,K00265: Amino Acid & Energy Metabolism,0.001707875,0.000227685,6.31E-05
ZooplanktonW1,K03046: Nucleotide Metabolism / Transcription,0.001911031,0.000773907,0.000214643
ArtemiaW2,K03406: Signal Transduction & Cell Motility,0.006908139,0.000666782,0.000210855
ArtemiaW2,K07347: Unknown: Outer Membrane Usher Protein,0.003595845,0.00033602,0.000106259
ArtemiaW2,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002042918,4.53E-05,1.43E-05
ArtemiaW2,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.001982815,9.52E-05,3.01E-05
ArtemiaW2,K15125: Unknown - Filamentous Hemagglutinin,0.002056671,0.000188822,5.97E-05
ArtemiaW2,K00123: Carbohydrate & Energy Metabolism,0.002078027,3.71E-05,1.17E-05
ArtemiaW2,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001772102,5.54E-05,1.75E-05
ArtemiaW2,K00656: Carbohydrate Metabolism,0.001618265,0.000161589,5.11E-05
ArtemiaW2,K00265: Amino Acid & Energy Metabolism,0.001752868,3.48E-05,1.10E-05
ArtemiaW2,K03046: Nucleotide Metabolism / Transcription,0.001596836,5.30E-05,1.68E-05
ZooplanktonW2,K03406: Signal Transduction & Cell Motility,0.006816283,0.000312347,8.06E-05
ZooplanktonW2,K07347: Unknown: Outer Membrane Usher Protein,0.003396429,7.76E-05,2.00E-05
ZooplanktonW2,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002042478,3.50E-05,9.04E-06
ZooplanktonW2,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.002009814,2.66E-05,6.88E-06
ZooplanktonW2,K15125: Unknown - Filamentous Hemagglutinin,0.001975789,9.17E-05,2.37E-05
ZooplanktonW2,K00123: Carbohydrate & Energy Metabolism,0.002105559,3.89E-05,1.00E-05
ZooplanktonW2,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001885528,4.36E-05,1.12E-05
ZooplanktonW2,K00656: Carbohydrate Metabolism,0.001683986,4.16E-05,1.07E-05
ZooplanktonW2,K00265: Amino Acid & Energy Metabolism,0.001659724,4.12E-05,1.06E-05
ZooplanktonW2,K03046: Nucleotide Metabolism / Transcription,0.002140917,0.000188141,4.86E-05
ArtemiaW3,K03406: Signal Transduction & Cell Motility,0.006014871,0.001826279,0.00045657
ArtemiaW3,K07347: Unknown: Outer Membrane Usher Protein,0.003203298,0.001134187,0.000283547
ArtemiaW3,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002148859,0.00017014,0.000042535
ArtemiaW3,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.002211627,0.000484101,0.000121025
ArtemiaW3,K15125: Unknown - Filamentous Hemagglutinin,0.001935206,0.00045551,0.000113878
ArtemiaW3,K00123: Carbohydrate & Energy Metabolism,0.001959364,0.000349457,8.74E-05
ArtemiaW3,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001746961,6.79E-05,1.70E-05
ArtemiaW3,K00656: Carbohydrate Metabolism,0.001747254,0.00042048,0.00010512
ArtemiaW3,K00265: Amino Acid & Energy Metabolism,0.00171937,0.000140438,3.51E-05
ArtemiaW3,K03046: Nucleotide Metabolism / Transcription,0.001744782,0.000301107,7.53E-05
ZooplanktonW3,K03406: Signal Transduction & Cell Motility,0.004974521,0.000520166,0.000119334
ZooplanktonW3,K07347: Unknown: Outer Membrane Usher Protein,0.00452023,0.000229448,5.26E-05
ZooplanktonW3,K02015: Unknown: Iron Complex Transport System Permease Protein,0.00236306,5.49E-05,1.26E-05
ZooplanktonW3,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.00225292,5.97E-05,1.37E-05
ZooplanktonW3,K15125: Unknown - Filamentous Hemagglutinin,0.002506794,4.84E-05,1.11E-05
ZooplanktonW3,K00123: Carbohydrate & Energy Metabolism,0.002156617,1.79E-05,4.10E-06
ZooplanktonW3,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001836037,1.98E-05,4.54E-06
ZooplanktonW3,K00656: Carbohydrate Metabolism,0.002208606,0.000132265,3.03E-05
ZooplanktonW3,K00265: Amino Acid & Energy Metabolism,0.001714434,1.59E-05,3.65E-06
ZooplanktonW3,K03046: Nucleotide Metabolism / Transcription,0.001484729,2.67E-05,6.12E-06
ArtemiaW4,K03406: Signal Transduction & Cell Motility,0.005191021,0.001516814,0.000505605
ArtemiaW4,K07347: Unknown: Outer Membrane Usher Protein,0.003968936,0.00102058,0.000340193
ArtemiaW4,K02015: Unknown: Iron Complex Transport System Permease Protein,0.002198786,0.000307662,0.000102554
ArtemiaW4,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.002257534,0.000235095,0.000078365
ArtemiaW4,K15125: Unknown - Filamentous Hemagglutinin,0.002261179,0.000557089,0.000185696
ArtemiaW4,K00123: Carbohydrate & Energy Metabolism,0.002007031,0.000415894,0.000138631
ArtemiaW4,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001775164,0.000125192,4.17E-05
ArtemiaW4,K00656: Carbohydrate Metabolism,0.001978341,0.00034877,0.000116257
ArtemiaW4,K00265: Amino Acid & Energy Metabolism,0.001695527,0.000108091,3.60E-05
ArtemiaW4,K00346: Nucleotide Metabolism / Transcription,0.001638678,0.000409732,0.000136577
ZooplanktonW4,K03406: Signal Transduction & Cell Motility,0.00488852,0.000104108,3.14E-05
ZooplanktonW4,K07347: Unknown: Outer Membrane Usher Protein,0.004520027,7.73E-05,2.33E-05
ZooplanktonW4,K02015: Unknown: Iron Complex Transport System Permease Protein,0.00235819,2.65E-05,7.99E-06
ZooplanktonW4,K02035: Unknown: Peptide / Nickel Transport System Substrate-Binding Protein,0.00226482,5.34E-05,1.61E-05
ZooplanktonW4,K15125: Unknown - Filamentous Hemagglutinin,0.002532369,9.89E-05,2.98E-05
ZooplanktonW4,K00123: Carbohydrate & Energy Metabolism,0.002149825,2.51E-05,7.57E-06
ZooplanktonW4,K01652: Amino Acid & Carbohydrate Metabolism / Cofactor & Vitamin Metabolism / Amino Acid Synthesis,0.001838355,1.18E-05,3.56E-06
ZooplanktonW4,K00656: Carbohydrate Metabolism,0.002209983,3.74E-05,1.13E-05
ZooplanktonW4,K00265: Amino Acid & Energy Metabolism,0.001717159,1.08E-05,3.25E-06
ZooplanktonW4,K03046: Nucleotide Metabolism / Transcription,0.001489522,1.72E-05,5.18E-06
