,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Unknown: Outer Membrane Usher Protein,Unknown: Iron Complex Transport System Permease Protein ,Unkown: Peptide/Nickel Transport System Substrate-Binding Protein,Unknown - Filamentous Hemagglutinin,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Unknown: Ribonuclease E,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Unknown: Phosphoribosylformylglycinamidine Synthase,Unknown: Iron Complex Transport System Substrate-Binding Protein,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Environmental Information Processing (Membrane Transport + Prokaryote Community Processes,Metabolic Pathways
NP-011-516-714_F_filt.fastq.gz,ArtemiaW1,0.007151924,0.007151924,0.00333882,0.002158824,0.002043498,0.002035228,0.002097186,0.001751643,0.001576919,0.001802729,0.001596532,0.001596532,0.00153806,0.00153806,0.001559464,0.001587877,0.001760373,0.001388068,0.001388068,0.001410897,0.001475031,0.001398661,0.001412831,0.001412831,0.001261745
NP-013-518-715_F_filt.fastq.gz,ArtemiaW1,0.006790003,0.006790003,0.003592223,0.002109819,0.001983761,0.001982964,0.002093666,0.001740173,0.001657131,0.001768834,0.001580213,0.001580213,0.001520614,0.001520614,0.001545402,0.001675977,0.001682883,0.001368384,0.001368384,0.001409097,0.00146275,0.001345271,0.001410337,0.001410337,0.001230573
NP-014-520-715_F_filt.fastq.gz,ArtemiaW1,0.00710937,0.00710937,0.003410659,0.002118665,0.002038083,0.002066945,0.002081404,0.001740276,0.001574687,0.001791348,0.001596595,0.001596595,0.001535199,0.001535199,0.001537724,0.001890272,0.001772935,0.001388444,0.001388444,0.00140727,0.001477242,0.001362967,0.001432596,0.001432596,0.001244499
NP-015-521-715_F_filt.fastq.gz,ArtemiaW1,0.006970116,0.006970116,0.003234527,0.002189106,0.002102958,0.001982219,0.00206728,0.00175186,0.001551961,0.001820173,0.001618987,0.001618987,0.001557651,0.001557651,0.001583595,0.001991821,0.001854652,0.001413444,0.001413444,0.001415143,0.001490528,0.001431765,0.00136475,0.00136475,0.001295648
NP-016-522-715_F_filt.fastq.gz,ArtemiaW1,0.005506269,0.005506269,0.001423689,0.003039602,0.002693877,0.000941874,0.001972535,0.001905532,0.001388709,0.002132063,0.001843372,0.001843372,0.001788184,0.001788184,0.002104225,0.002170647,0.002536506,0.001656684,0.001656684,0.001510445,0.001620178,0.002220535,0.000620044,0.000620044,0.001841136
NP-017-502-715_F_filt.fastq.gz,ArtemiaW1,0.00652857,0.00652857,0.002426291,0.002535004,0.002398767,0.001613623,0.002029016,0.001812279,0.001455271,0.00195315,0.001702135,0.001702135,0.001645797,0.001645797,0.001795271,0.0019159,0.002144775,0.001508045,0.001508045,0.001446188,0.001537843,0.001766825,0.001079615,0.001079615,0.00150936
NP-018-503-715_F_filt.fastq.gz,ArtemiaW1,0.006740651,0.006740651,0.00288646,0.002338163,0.00217785,0.001817321,0.002045418,0.001785509,0.001523709,0.001874609,0.00166538,0.00166538,0.001606523,0.001606523,0.001692167,0.001854314,0.001966714,0.001461259,0.001461259,0.001422415,0.00151482,0.001576181,0.001226424,0.001226424,0.001400177
NP-019-505-715_F_filt.fastq.gz,ArtemiaW1,0.006586603,0.006586603,0.003296301,0.002229136,0.002096147,0.00183493,0.00206668,0.001771713,0.001617543,0.00181543,0.001624055,0.001624055,0.001564135,0.001564135,0.001628406,0.001838261,0.001829034,0.001414549,0.001414549,0.001413666,0.001483317,0.001458472,0.001293548,0.001293548,0.00131954
NP-021-511-716_F_filt.fastq.gz,ZooplanktonW1,0.007718174,0.007718174,0.003306484,0.002070862,0.001998383,0.002273897,0.00209484,0.00173452,0.001501845,0.001792004,0.001591849,0.001591849,0.001532917,0.001532917,0.001500463,0.001597793,0.001770912,0.001384513,0.001384513,0.001397152,0.001477635,0.001334237,0.001519028,0.001519028,0.001225288
NP-022-507-715_F_filt.fastq.gz,ZooplanktonW1,0.007745592,0.007745592,0.003294687,0.002083468,0.002008232,0.002257894,0.002101463,0.00173434,0.001519617,0.001787861,0.001594355,0.001594355,0.001535757,0.001535757,0.001504148,0.001573825,0.00176263,0.001387469,0.001387469,0.001398024,0.001479745,0.001341587,0.001512954,0.001512954,0.001232271
NP-023-508-715_F_filt.fastq.gz,ZooplanktonW1,0.004046754,0.004046754,0.001409599,0.001082637,0.001662738,0.001061863,0.001014545,0.000912888,0.000647398,0.000939431,0.004530106,0.004530106,0.004650221,0.004650221,0.001024391,0.002355096,0.002127145,0.003653291,0.003653291,0.002659218,0.000799569,0.000697232,0.000683537,0.000683537,0.000697737
NP-024-510-716_F_filt.fastq.gz,ZooplanktonW1,0.007520223,0.007520223,0.003190997,0.002004346,0.002131564,0.002244909,0.002041066,0.001833637,0.001421081,0.001784456,0.001668769,0.001668769,0.0016088,0.0016088,0.001523648,0.001725351,0.001950826,0.00143438,0.00143438,0.001417231,0.001476385,0.001271051,0.001444921,0.001444921,0.001286928
NP-025-513-716_F_filt.fastq.gz,ZooplanktonW1,0.007563772,0.007563772,0.003128543,0.002073115,0.002204155,0.002249796,0.002056666,0.001760674,0.001439495,0.001807681,0.001625404,0.001625404,0.001568103,0.001568103,0.001503553,0.001783955,0.001921974,0.001406298,0.001406298,0.001441696,0.001483452,0.00133802,0.001447444,0.001447444,0.00125801
NP-026-515-716_F_filt.fastq.gz,ZooplanktonW1,0.007328909,0.007328909,0.00334231,0.002062788,0.00201692,0.00214586,0.002100674,0.001806371,0.001581426,0.001739624,0.001819358,0.001819358,0.001741946,0.001741946,0.001611765,0.001560718,0.001607309,0.001563968,0.001563968,0.001502622,0.001413541,0.001328996,0.001444788,0.001444788,0.001386852
NP-027-516-716_F_filt.fastq.gz,ZooplanktonW1,0.007277209,0.007277209,0.00337619,0.002063479,0.002004763,0.002119739,0.002113459,0.001821602,0.001610394,0.001725748,0.001868611,0.001868611,0.001786293,0.001786293,0.001637946,0.001531141,0.00154192,0.001602905,0.001602905,0.001523014,0.001395056,0.00132858,0.00143696,0.00143696,0.001418254
NP-028-517-716_F_filt.fastq.gz,ZooplanktonW1,0.007444941,0.007444941,0.003350531,0.002069287,0.002002885,0.00217202,0.002108802,0.001793138,0.00156923,0.001751745,0.001769865,0.001769865,0.001695672,0.001695672,0.001590039,0.001549713,0.001622483,0.001524561,0.001524561,0.001478094,0.001424085,0.00133214,0.00146736,0.00146736,0.001348092
NP-029-518-716_F_filt.fastq.gz,ZooplanktonW1,0.007290029,0.007290029,0.003254698,0.002041812,0.002014407,0.002118962,0.00206891,0.001768929,0.001530979,0.001725792,0.001878194,0.001878194,0.001800761,0.001800761,0.001637147,0.00160282,0.001646989,0.001607283,0.001607283,0.001523171,0.001518678,0.001314554,0.001430201,0.001430201,0.001437689
NP-030-520-716_F_filt.fastq.gz,ZooplanktonW1,0.007601642,0.007601642,0.003324992,0.002069604,0.002005626,0.002225782,0.0021032,0.001762973,0.001531491,0.001775933,0.001673187,0.001673187,0.001607085,0.001607085,0.001541194,0.001577476,0.00170392,0.001448178,0.001448178,0.001432788,0.001452958,0.001332985,0.001494183,0.001494183,0.001280563
NP-031-521-716_F_filt.fastq.gz,ZooplanktonW1,0.007651335,0.007651335,0.003259446,0.002064716,0.002011454,0.002249232,0.002078438,0.001732556,0.001485496,0.001787997,0.001623039,0.001623039,0.001564425,0.001564425,0.001496136,0.00161391,0.001787843,0.001409999,0.001409999,0.001410482,0.001473602,0.001329901,0.001499965,0.001499965,0.001228012
NP-032-522-716_F_filt.fastq.gz,ZooplanktonW1,0.00759917,0.00759917,0.003243574,0.002079953,0.002057382,0.002228555,0.002080196,0.001756524,0.001478937,0.001797184,0.001634065,0.001634065,0.001572965,0.001572965,0.001518227,0.001642611,0.001796184,0.001416298,0.001416298,0.001426994,0.001477011,0.001338421,0.001490246,0.001490246,0.001257545
NP-034-502-716_F_filt.fastq.gz,ZooplanktonW1,0.007494451,0.007494451,0.003002718,0.002143473,0.002231762,0.002118892,0.002053486,0.001744512,0.001518193,0.001759749,0.001668232,0.001668232,0.001611982,0.001611982,0.001523194,0.001691161,0.001882242,0.001448732,0.001448732,0.001470177,0.001519248,0.001387942,0.0013929,0.0013929,0.001332976
NP-041-513-718_F_filt.fastq.gz,ArtemiaW2,0.007504761,0.007504761,0.003385976,0.002074167,0.001999488,0.002200418,0.002097387,0.001745509,0.001539948,0.001785269,0.001590888,0.001590888,0.001531866,0.001531866,0.001512651,0.001574411,0.001750507,0.001380147,0.001380147,0.001397297,0.00147096,0.001329446,0.0014916,0.0014916,0.001226017
NP-042-515-718_F_filt.fastq.gz,ArtemiaW2,0.007272321,0.007272321,0.003380241,0.002017142,0.0020509,0.002173816,0.002058348,0.001806601,0.0015093,0.001769792,0.001634161,0.001634161,0.001574695,0.001574695,0.001527253,0.001649409,0.00184876,0.001405858,0.001405858,0.0014064,0.001467155,0.001275282,0.001442947,0.001442947,0.001258455
NP-043-516-718_F_filt.fastq.gz,ArtemiaW2,0.007581964,0.007581964,0.003362632,0.0020798,0.001999311,0.002220666,0.002100439,0.001738237,0.001531464,0.001789698,0.001588192,0.001588192,0.001529046,0.001529046,0.001509135,0.00158498,0.001749471,0.001379835,0.001379835,0.00139622,0.001473376,0.001336727,0.001502242,0.001502242,0.001223455
NP-044-517-718_F_filt.fastq.gz,ArtemiaW2,0.006822976,0.006822976,0.003609403,0.002022777,0.001983272,0.002041742,0.002065022,0.001785648,0.001611853,0.001746005,0.001606352,0.001606352,0.001547423,0.001547423,0.001534032,0.001610408,0.001747898,0.001379357,0.001379357,0.001408571,0.001454217,0.001268291,0.001416692,0.001416692,0.001235453
NP-045-518-719_F_filt.fastq.gz,ArtemiaW2,0.006544331,0.006544331,0.003652987,0.002010023,0.001989814,0.001996392,0.002044599,0.00180103,0.00162577,0.001736588,0.001617335,0.001617335,0.001558358,0.001558358,0.001545896,0.001684281,0.001771992,0.001386004,0.001386004,0.00141509,0.001452061,0.001255263,0.001381565,0.001381565,0.001249091
NP-046-520-719_F_filt.fastq.gz,ArtemiaW2,0.005424588,0.005424588,0.004352031,0.002076063,0.001791407,0.00162644,0.002112181,0.001721217,0.001976943,0.001675727,0.001514291,0.001514291,0.00145668,0.00145668,0.001567609,0.001416058,0.00138337,0.001295194,0.001295194,0.001405656,0.001411183,0.001272363,0.001329672,0.001329672,0.0011632
NP-047-521-719_F_filt.fastq.gz,ArtemiaW2,0.007221137,0.007221137,0.003203064,0.001940264,0.002167885,0.002203501,0.001996049,0.001902639,0.001394017,0.001768055,0.001711944,0.001711944,0.001651647,0.001651647,0.001544338,0.001804406,0.002061633,0.00145901,0.00145901,0.001420136,0.001472384,0.001210785,0.001384537,0.001384537,0.001322173
NP-048-522-719_F_filt.fastq.gz,ArtemiaW2,0.006889798,0.006889798,0.003691715,0.002070474,0.001933991,0.002032154,0.002103506,0.001737923,0.001674564,0.001749962,0.001566068,0.001566068,0.001507382,0.001507382,0.001526622,0.001523168,0.001634066,0.001352679,0.001352679,0.001398189,0.001451539,0.001307596,0.00144775,0.00144775,0.001203034
NP-049-502-719_F_filt.fastq.gz,ArtemiaW2,0.007441912,0.007441912,0.003426502,0.002075767,0.001978946,0.002190524,0.002099234,0.001735156,0.001557316,0.001781514,0.001582179,0.001582179,0.001523418,0.001523418,0.001510932,0.001564148,0.001725614,0.00137332,0.00137332,0.001397813,0.001469445,0.001330542,0.001493557,0.001493557,0.001218407
NP-050-503-719_F_filt.fastq.gz,ArtemiaW2,0.006448847,0.006448847,0.003854453,0.002064142,0.001935444,0.001908413,0.002100771,0.00174873,0.001744872,0.00172984,0.001561676,0.001561676,0.001503176,0.001503176,0.001538574,0.001516464,0.0015898,0.001343008,0.001343008,0.001405705,0.001439814,0.001289713,0.001402105,0.001402105,0.001199551
NP-051-505-719_F_filt.fastq.gz,ZooplanktonW2,0.006959201,0.006959201,0.003429618,0.002053679,0.00200612,0.002018771,0.002123083,0.001881633,0.001680197,0.001680152,0.002059612,0.002059612,0.001960992,0.001960992,0.001731971,0.001497304,0.001386427,0.001753396,0.001753396,0.001610508,0.001336963,0.00132186,0.001382383,0.001382383,0.001549635
NP-052-506-719_F_filt.fastq.gz,ZooplanktonW2,0.006783251,0.006783251,0.003450914,0.002045869,0.002011232,0.001969867,0.002124482,0.001912,0.001709816,0.001657476,0.002156359,0.002156359,0.002049685,0.002049685,0.001778022,0.001489813,0.001314781,0.001829489,0.001829489,0.001656957,0.001308117,0.001316933,0.001353356,0.001353356,0.001616309
NP-053-507-719_F_filt.fastq.gz,ZooplanktonW2,0.00679934,0.00679934,0.003453316,0.002046254,0.002004931,0.001975954,0.002124584,0.001908794,0.001708999,0.001659095,0.00214754,0.00214754,0.002041518,0.002041518,0.001774373,0.00148817,0.001318436,0.001822647,0.001822647,0.001651801,0.0013106,0.0013172,0.001357047,0.001357047,0.001610078
NP-054-508-719_F_filt.fastq.gz,ZooplanktonW2,0.006761454,0.006761454,0.003447229,0.00205519,0.002010714,0.001950125,0.002128173,0.001914419,0.001731734,0.001646512,0.002175773,0.002175773,0.002067943,0.002067943,0.001788752,0.001471544,0.001293438,0.001845681,0.001845681,0.001664404,0.001306071,0.001322329,0.001343596,0.001343596,0.00163483
NP-055-510-719_F_filt.fastq.gz,ZooplanktonW2,0.006759252,0.006759252,0.003461186,0.002046791,0.00200448,0.001957417,0.002127848,0.001918432,0.001722056,0.001651829,0.002177968,0.002177968,0.002069311,0.002069311,0.001789927,0.001478429,0.001291658,0.001846695,0.001846695,0.001665018,0.001301423,0.001317277,0.001348581,0.001348581,0.001631287
NP-056-511-720_F_filt.fastq.gz,ZooplanktonW2,0.006650599,0.006650599,0.003474507,0.002043675,0.002005213,0.001922773,0.002130696,0.001939366,0.001744853,0.001636668,0.002244325,0.002244325,0.002130118,0.002130118,0.001822193,0.001467766,0.001239789,0.001898924,0.001898924,0.001695555,0.001282462,0.001315107,0.001328349,0.001328349,0.001677416
NP-057-513-720_F_filt.fastq.gz,ZooplanktonW2,0.006196258,0.006196258,0.003210922,0.001974769,0.002028562,0.001784401,0.001999871,0.001880548,0.00163936,0.001603945,0.002456116,0.002456116,0.002330988,0.002330988,0.001905436,0.001784153,0.001377377,0.002067159,0.002067159,0.001760556,0.001520433,0.001293606,0.001232733,0.001232733,0.001860402
NP-058-515-720_F_filt.fastq.gz,ZooplanktonW2,0.006378833,0.006378833,0.003314718,0.001960429,0.001930405,0.001840941,0.002037572,0.001852838,0.001664298,0.001568798,0.002485744,0.002485744,0.002364476,0.002364476,0.001934412,0.001543481,0.001269929,0.002083395,0.002083395,0.001772132,0.00152956,0.001260423,0.001271558,0.001271558,0.001875583
NP-059-516-720_F_filt.fastq.gz,ZooplanktonW2,0.007049279,0.007049279,0.003378126,0.00207186,0.002015455,0.002028238,0.00211714,0.001857599,0.001685041,0.001678209,0.002009308,0.002009308,0.001916924,0.001916924,0.001707441,0.001498985,0.001433581,0.001716224,0.001716224,0.001589906,0.001362939,0.001333352,0.001383285,0.001383285,0.001528306
NP-060-517-720_F_filt.fastq.gz,ZooplanktonW2,0.006922586,0.006922586,0.003427925,0.002052392,0.002014486,0.002009241,0.002122344,0.001887702,0.001682861,0.001676667,0.002077635,0.002077635,0.001977633,0.001977633,0.00174004,0.001501322,0.001378053,0.001767347,0.001767347,0.001620329,0.00133189,0.001321041,0.001375192,0.001375192,0.001562148
NP-061-518-720_F_filt.fastq.gz,ZooplanktonW2,0.006969006,0.006969006,0.003366791,0.002052427,0.002065086,0.002035523,0.002108029,0.001876883,0.001637879,0.001695173,0.002026431,0.002026431,0.001931812,0.001931812,0.001709456,0.001553405,0.001459725,0.001725735,0.001725735,0.001607125,0.001351782,0.001321795,0.001375652,0.001375652,0.00152812
NP-062-520-721_F_filt.fastq.gz,ZooplanktonW2,0.007553868,0.007553868,0.003288179,0.00209391,0.002019249,0.002174542,0.002104812,0.001764483,0.001590376,0.001746927,0.00171514,0.00171514,0.001648089,0.001648089,0.001565088,0.001557082,0.001672741,0.001485919,0.001485919,0.001457298,0.001453467,0.001348677,0.001463436,0.001463436,0.001330034
NP-063-521-720_F_filt.fastq.gz,ZooplanktonW2,0.006751924,0.006751924,0.003436305,0.002049924,0.00202413,0.001956182,0.002124023,0.001918585,0.001712727,0.001655088,0.002174846,0.002174846,0.002066967,0.002066967,0.001786993,0.001492323,0.001310421,0.001843941,0.001843941,0.00166676,0.001305309,0.001320147,0.001341706,0.001341706,0.001631201
NP-064-522-720_F_filt.fastq.gz,ZooplanktonW2,0.00706168,0.00706168,0.003386948,0.002053567,0.002010134,0.002064796,0.002109599,0.001853742,0.001645024,0.001696303,0.001981302,0.001981302,0.001890316,0.001890316,0.001690523,0.00153471,0.001467204,0.001691947,0.001691947,0.001580092,0.001365103,0.001322415,0.001399116,0.001399116,0.001498959
NP-065-502-720_F_filt.fastq.gz,ZooplanktonW2,0.00669142,0.00669142,0.003435457,0.002044752,0.002004689,0.001958963,0.002112668,0.001923393,0.00170148,0.00165147,0.002186663,0.002186663,0.002078048,0.002078048,0.001790861,0.001512507,0.001312272,0.001853396,0.001853396,0.001679597,0.00130374,0.001316266,0.001344006,0.001344006,0.001638306
NP-066-503-704_F_filt.fastq.gz,ZooplanktonW3,0.004842371,0.004842371,0.004594821,0.002374897,0.002254861,0.002523438,0.002160323,0.001842894,0.00223924,0.001711143,0.001473924,0.001473924,0.001410825,0.001410825,0.001675278,0.001217614,0.001077727,0.001322064,0.001322064,0.001437337,0.001372156,0.00158953,0.001563346,0.001563346,0.001121317
NP-067-505-721_F_filt.fastq.gz,ZooplanktonW3,0.004842371,0.004842371,0.004594821,0.002374897,0.002254861,0.002523438,0.002160323,0.001842894,0.00223924,0.001711143,0.001473924,0.001473924,0.001410825,0.001410825,0.001675278,0.001217614,0.001077727,0.001322064,0.001322064,0.001437337,0.001372156,0.00158953,0.001563346,0.001563346,0.001121317
NP-068-506-721_F_filt.fastq.gz,ZooplanktonW3,0.00489182,0.00489182,0.004581378,0.002373163,0.00225268,0.002512228,0.002166091,0.00184154,0.002235314,0.001712778,0.001474823,0.001474823,0.001411727,0.001411727,0.001672911,0.001218535,0.001080273,0.001322652,0.001322652,0.001435814,0.001372993,0.001586664,0.001560039,0.001560039,0.001122106
NP-069-507-721_F_filt.fastq.gz,ZooplanktonW3,0.004856607,0.004856607,0.004591313,0.002374542,0.002254323,0.002519915,0.002162275,0.001842523,0.002238479,0.001711623,0.001474136,0.001474136,0.001411035,0.001411035,0.001674622,0.001217654,0.001078067,0.001322214,0.001322214,0.001436865,0.001372357,0.001588767,0.001562283,0.001562283,0.001121504
NP-070-508-721_F_filt.fastq.gz,ZooplanktonW3,0.004843872,0.004843872,0.004579813,0.002377406,0.00226873,0.002528686,0.002158526,0.001839891,0.002243417,0.001710237,0.00147953,0.00147953,0.001415632,0.001415632,0.001675785,0.001214756,0.00107946,0.001325764,0.001325764,0.001437338,0.001377421,0.001590575,0.001558362,0.001558362,0.001128909
NP-071-510-721_F_filt.fastq.gz,ZooplanktonW3,0.004784961,0.004784961,0.004528766,0.002380704,0.002303395,0.002532805,0.002138998,0.001832155,0.002250481,0.001704746,0.001500808,0.001500808,0.001435339,0.001435339,0.001678606,0.001201404,0.001086343,0.001340797,0.001340797,0.001440938,0.001394777,0.001592604,0.001540923,0.001540923,0.001160288
NP-072-511-721_F_filt.fastq.gz,ZooplanktonW3,0.004885106,0.004885106,0.004545851,0.002392355,0.002241489,0.002502404,0.002156468,0.001851507,0.002214625,0.001716953,0.001480407,0.001480407,0.001417053,0.001417053,0.001679142,0.001231344,0.001096557,0.001326295,0.001326295,0.001447587,0.001377685,0.001597559,0.001562173,0.001562173,0.00112622
NP-073-513-721_F_filt.fastq.gz,ZooplanktonW3,0.004890448,0.004890448,0.004572951,0.002374069,0.002253193,0.002507519,0.002164219,0.001841112,0.002234828,0.001712478,0.001476978,0.001476978,0.001413893,0.001413893,0.001673467,0.001216868,0.001081893,0.001324336,0.001324336,0.001436343,0.001374829,0.001587235,0.001557407,0.001557407,0.00112489
NP-074-515-704_F_filt.fastq.gz,ZooplanktonW3,0.004923633,0.004923633,0.004566661,0.002368787,0.00224881,0.002508856,0.002167117,0.001840541,0.002228073,0.001713523,0.00147614,0.00147614,0.001413046,0.001413046,0.001670744,0.001221612,0.001086444,0.001323306,0.001323306,0.001435118,0.001374157,0.00158328,0.00155804,0.00155804,0.001123214
NP-075-516-721_F_filt.fastq.gz,ZooplanktonW3,0.00484505,0.00484505,0.004594161,0.00237483,0.00225476,0.002522775,0.002160691,0.001842824,0.002239097,0.001711233,0.001473964,0.001473964,0.001410864,0.001410864,0.001675155,0.001217622,0.001077791,0.001322092,0.001322092,0.001437248,0.001372194,0.001589386,0.001563146,0.001563146,0.001121352
NP-076-517-721_F_filt.fastq.gz,ZooplanktonW3,0.004842371,0.004842371,0.004594821,0.002374897,0.002254861,0.002523438,0.002160323,0.001842894,0.00223924,0.001711143,0.001473924,0.001473924,0.001410825,0.001410825,0.001675278,0.001217614,0.001077727,0.001322064,0.001322064,0.001437337,0.001372156,0.00158953,0.001563346,0.001563346,0.001121317
NP-077-518-721_F_filt.fastq.gz,ZooplanktonW3,0.007103375,0.007103375,0.003595995,0.002141731,0.002059457,0.002325243,0.002115032,0.001760414,0.001667743,0.001776442,0.00156411,0.00156411,0.001504079,0.001504079,0.001539894,0.001498543,0.001611799,0.001369019,0.001369019,0.001403508,0.00145319,0.001392473,0.001530098,0.001530098,0.00119982
NP-078-522-722_F_filt.fastq.gz,ZooplanktonW3,0.004900869,0.004900869,0.004534822,0.002357258,0.002253068,0.002479842,0.002158696,0.001836395,0.002224233,0.001710643,0.001488609,0.001488609,0.001425585,0.001425585,0.001666112,0.001209949,0.001085739,0.001331899,0.001331899,0.001436171,0.001380961,0.001573531,0.001541472,0.001541472,0.001146485
NP-080-520-722_F_filt.fastq.gz,ZooplanktonW3,0.004892125,0.004892125,0.00458256,0.002373658,0.002252981,0.002511125,0.002167144,0.001841599,0.00223658,0.001712819,0.001474667,0.001474667,0.001411561,0.001411561,0.001672985,0.001217754,0.001078914,0.001322589,0.001322589,0.001435687,0.001372857,0.001586864,0.00155963,0.00155963,0.001121972
NP-081-502-722_F_filt.fastq.gz,ZooplanktonW3,0.004868853,0.004868853,0.004585326,0.002373049,0.002253121,0.002519313,0.002161566,0.001842046,0.002234795,0.001711962,0.001474698,0.001474698,0.001411619,0.001411619,0.001673848,0.001219534,0.001081586,0.001322498,0.001322498,0.001436735,0.00137286,0.001587601,0.00156228,0.00156228,0.001121993
NP-083-505-722_F_filt.fastq.gz,ZooplanktonW3,0.004879019,0.004879019,0.004569206,0.002369412,0.002254292,0.002507281,0.002160532,0.001840801,0.002231644,0.001712278,0.001479614,0.001479614,0.001416553,0.001416553,0.001671973,0.001218297,0.001082803,0.001325993,0.001325993,0.001437241,0.001375588,0.001583849,0.001555494,0.001555494,0.001129765
NP-084-506-722_F_filt.fastq.gz,ZooplanktonW3,0.00485415,0.00485415,0.004591918,0.002374604,0.002254416,0.002520523,0.002161938,0.001842587,0.00223861,0.00171154,0.0014741,0.0014741,0.001410999,0.001410999,0.001674736,0.001217648,0.001078008,0.001322188,0.001322188,0.001436946,0.001372322,0.001588899,0.001562466,0.001562466,0.001121472
