,,Environmental Information Processing (Signal Transduction),Cellular Processes (Motility),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Transcription),Metabolic Pathways,Metabolic Pathways,Metabolic Pathways,Genetic Information Processing (Replication + Repair),Metabolic Pathways,Metabolic Pathways
NP-049-502-719_F_filt.fastq.gz,ArtemiaW2,0.007508815,0.007508815,0.002094553,0.001738677,0.001595031,0.001595031,0.001786565,0.001535628,0.001535628,0.001744138,0.001534681,0.001511176,0.001384204,0.001402181,0.001228307
NP-050-503-719_F_filt.fastq.gz,ArtemiaW2,0.006760957,0.006760957,0.002097676,0.001748293,0.001580123,0.001580123,0.001744133,0.001520785,0.001520785,0.001630493,0.001685293,0.001535297,0.001361621,0.001406358,0.001214154
NP-051-505-719_F_filt.fastq.gz,ZooplanktonW2,0.006996581,0.006996581,0.002122241,0.001874699,0.002038363,0.002038363,0.001684849,0.001941592,0.001941592,0.001403375,0.001673398,0.001721532,0.001736734,0.001600709,0.001535345
NP-052-506-719_F_filt.fastq.gz,ZooplanktonW2,0.006848582,0.006848582,0.002111546,0.001884654,0.002125194,0.002125194,0.001664167,0.00202257,0.00202257,0.001363543,0.001679396,0.001761747,0.001804152,0.001639018,0.001597697
NP-053-507-719_F_filt.fastq.gz,ZooplanktonW2,0.006819915,0.006819915,0.002124474,0.001905391,0.00213768,0.00213768,0.0016613,0.00203245,0.00203245,0.001325379,0.001705666,0.001769557,0.001814906,0.001646767,0.001603136
NP-054-508-719_F_filt.fastq.gz,ZooplanktonW2,0.006838822,0.006838822,0.002126508,0.001900647,0.002132638,0.002132638,0.001657307,0.002028572,0.002028572,0.001329053,0.001716851,0.001767477,0.001811908,0.001645291,0.001605632
NP-055-510-719_F_filt.fastq.gz,ZooplanktonW2,0.006774789,0.006774789,0.002127144,0.001915191,0.002167194,0.002167194,0.001654772,0.002059459,0.002059459,0.001301188,0.001717204,0.001784318,0.0018381,0.00166033,0.001623633
NP-056-511-720_F_filt.fastq.gz,ZooplanktonW2,0.006673879,0.006673879,0.002130514,0.001934863,0.002230401,0.002230401,0.001639724,0.002117333,0.002117333,0.001249877,0.001740787,0.001815448,0.001887977,0.001688871,0.001667674
NP-057-513-720_F_filt.fastq.gz,ZooplanktonW2,0.006112367,0.006112367,0.001974074,0.001861154,0.002504184,0.002504184,0.001595436,0.002377735,0.002377735,0.001421675,0.001606874,0.001925951,0.002104463,0.001776749,0.001902455
NP-058-515-720_F_filt.fastq.gz,ZooplanktonW2,0.006321255,0.006321255,0.002015874,0.001830769,0.002540721,0.002540721,0.001552926,0.002417891,0.002417891,0.00127636,0.001645697,0.001959928,0.002125236,0.001788612,0.001920525
NP-059-516-720_F_filt.fastq.gz,ZooplanktonW2,0.007101283,0.007101283,0.0021153,0.001845012,0.00197217,0.00197217,0.001687238,0.00188296,0.00188296,0.001465294,0.001670887,0.001688227,0.001686847,0.0015747,0.001502884
NP-060-517-720_F_filt.fastq.gz,ZooplanktonW2,0.006982847,0.006982847,0.002122261,0.001875587,0.0020415,0.0020415,0.001685859,0.001944681,0.001944681,0.001407792,0.001668873,0.001722012,0.001738367,0.001605517,0.001537062
NP-061-518-720_F_filt.fastq.gz,ZooplanktonW2,0.007059977,0.007059977,0.002107947,0.001860378,0.001982833,0.001982833,0.00170758,0.001891923,0.001891923,0.001490101,0.001621799,0.001687293,0.001690945,0.001583459,0.001497453
NP-062-520-721_F_filt.fastq.gz,ZooplanktonW2,0.007623769,0.007623769,0.002103993,0.001751594,0.00167618,0.00167618,0.001755853,0.001612564,0.001612564,0.001700336,0.001576696,0.001545385,0.001454975,0.001439316,0.001302826
NP-063-521-720_F_filt.fastq.gz,ZooplanktonW2,0.006812059,0.006812059,0.002121382,0.001907145,0.002143431,0.002143431,0.001662511,0.00203844,0.00203844,0.001338348,0.001701718,0.0017708,0.001819621,0.001651367,0.001611441
NP-064-522-720_F_filt.fastq.gz,ZooplanktonW2,0.007094788,0.007094788,0.002103014,0.001850142,0.001928093,0.001928093,0.001724399,0.001843271,0.001843271,0.001559213,0.001582374,0.001651169,0.001646621,0.001577796,0.001462232
NP-065-502-720_F_filt.fastq.gz,ZooplanktonW2,0.006705116,0.006705116,0.002098509,0.001898221,0.002139762,0.002139762,0.001658341,0.002036257,0.002036257,0.001366306,0.001677876,0.001761329,0.001815583,0.001661581,0.001608532
NP-068-506-721_F_filt.fastq.gz,ZooplanktonW3,0.007380313,0.007380313,0.00238473,0.001768624,0.001531433,0.001531433,0.001792842,0.001469169,0.001469169,0.001305195,0.001946893,0.001547462,0.001356904,0.001367484,0.001171665
NP-069-507-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-070-508-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-071-510-721_F_filt.fastq.gz,ZooplanktonW3,0.000219623,0.000219623,0.000741731,0.000802308,0.003592046,0.003592046,0.001180731,0.003216985,0.003216985,0.001632231,0.004154254,0.002113777,0.0027167,0.001610415,0.004026738
NP-073-513-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-074-515-704_F_filt.fastq.gz,ZooplanktonW3,0.008198539,0.008198539,0.002511139,0.001750552,0.001555362,0.001555362,0.001810823,0.001491704,0.001491704,0.00134584,0.001862731,0.001492817,0.001369179,0.001337489,0.001190818
NP-076-517-721_F_filt.fastq.gz,ZooplanktonW3,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-077-518-721_F_filt.fastq.gz,ZooplanktonW3,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-078-522-722_F_filt.fastq.gz,ZooplanktonW3,0.005178758,0.005178758,0.001868806,0.001664778,0.001912895,0.001912895,0.001662373,0.001854861,0.001854861,0.001235304,0.001932684,0.001481898,0.001625088,0.001456346,0.001919733
NP-080-520-722_F_filt.fastq.gz,ZooplanktonW3,0.007335745,0.007335745,0.002419034,0.001772473,0.001524347,0.001524347,0.001792575,0.001461707,0.001461707,0.001249509,0.002000541,0.001553062,0.001353809,0.00136428,0.001165532
NP-083-505-722_F_filt.fastq.gz,ZooplanktonW3,0.006383261,0.006383261,0.002183111,0.001717406,0.001722981,0.001722981,0.001735385,0.001662226,0.001662226,0.001192408,0.002005654,0.001514734,0.00149518,0.001403501,0.001554448
NP-085-507-722_F_filt.fastq.gz,ZooplanktonW3,0.005646521,0.005646521,0.001996138,0.001891141,0.001772459,0.001772459,0.002112469,0.001676878,0.001676878,0.002891607,0.001157354,0.001505699,0.001608853,0.001525143,0.00170089
NP-086-508-722_F_filt.fastq.gz,ZooplanktonW3,0.005768834,0.005768834,0.001811384,0.00182213,0.001979806,0.001979806,0.001904291,0.001912116,0.001912116,0.001977593,0.001221475,0.001615637,0.001685194,0.001559405,0.001538777
NP-088-511-722_F_filt.fastq.gz,ArtemiaW3,0.005525228,0.005525228,0.002299651,0.001756284,0.001573751,0.001573751,0.00168822,0.001501718,0.001501718,0.001136751,0.002308668,0.001641633,0.001348708,0.001405937,0.001257035
NP-090-515-723_F_filt.fastq.gz,ArtemiaW3,0.007538357,0.007538357,0.002178982,0.001734583,0.001609931,0.001609931,0.001786098,0.00154399,0.00154399,0.001609555,0.001704861,0.001526057,0.001397833,0.0013861,0.001258276
NP-091-516-723_F_filt.fastq.gz,ArtemiaW3,0.003890184,0.003890184,0.001462675,0.00184701,0.002252486,0.002252486,0.001697141,0.002190947,0.002190947,0.002600817,0.00145976,0.00180571,0.001903512,0.001799259,0.001971648
NP-093-518-728_F_filt.fastq.gz,ArtemiaW3,0.002511283,0.002511283,0.002172974,0.00183616,0.001406979,0.001406979,0.001536103,0.001348968,0.001348968,0.000999207,0.002629905,0.001763476,0.001165295,0.001458101,0.001074227
NP-094-520-728_F_filt.fastq.gz,ArtemiaW3,0.007536878,0.007536878,0.002099881,0.001733427,0.00158871,0.00158871,0.001783072,0.001529717,0.001529717,0.001729806,0.001543799,0.001504294,0.001378895,0.001395349,0.001227347
NP-095-521-728_F_filt.fastq.gz,ArtemiaW3,0.006943573,0.006943573,0.002121575,0.001767779,0.001682709,0.001682709,0.001817347,0.001610162,0.001610162,0.001729519,0.001619319,0.001539773,0.001478879,0.001441704,0.001361284
NP-096-522-728_F_filt.fastq.gz,ArtemiaW3,0.007249953,0.007249953,0.002106212,0.001733487,0.001572482,0.001572482,0.001768971,0.001513614,0.001513614,0.001677812,0.001609812,0.001514997,0.001362698,0.00139567,0.001208039
NP-097-502-723_F_filt.fastq.gz,ArtemiaW3,0.007718492,0.007718492,0.002098296,0.001736534,0.001594523,0.001594523,0.001794892,0.001535253,0.001535253,0.001765331,0.001504854,0.001500671,0.001386394,0.001395149,0.001232069
NP-098-503-723_F_filt.fastq.gz,ArtemiaW3,0.007028702,0.007028702,0.001845573,0.001832092,0.001912007,0.001912007,0.001874509,0.001851413,0.001851413,0.00215092,0.001061676,0.00151077,0.001609399,0.00161599,0.001491857
NP-099-505-723_F_filt.fastq.gz,ArtemiaW3,0.007711353,0.007711353,0.002092679,0.001733828,0.001589926,0.001589926,0.001792786,0.001531085,0.001531085,0.001772904,0.001496912,0.001498635,0.001382707,0.001396612,0.001222416
NP-102-508-724_F_filt.fastq.gz,ArtemiaW3,0.007622118,0.007622118,0.002147573,0.001749932,0.001596673,0.001596673,0.001800205,0.001536706,0.001536706,0.001681008,0.001582359,0.001512859,0.001389583,0.00140044,0.001227659
NP-103-510-724_F_filt.fastq.gz,ArtemiaW3,0.007586128,0.007586128,0.002114155,0.001749649,0.001611004,0.001611004,0.001791649,0.001550988,0.001550988,0.001737516,0.00155898,0.001515776,0.001400095,0.001405537,0.001247402
NP-104-511-724_F_filt.fastq.gz,ArtemiaW3,0.004072882,0.004072882,0.001493266,0.001738612,0.002152842,0.002152842,0.001745945,0.002083423,0.002083423,0.002191947,0.001376172,0.001557597,0.001840646,0.001615108,0.002202156
NP-105-513-724_F_filt.fastq.gz,ArtemiaW3,0.003804778,0.003804778,0.00221429,0.001727604,0.001437441,0.001437441,0.001587349,0.001379794,0.001379794,0.000998314,0.002432755,0.001644634,0.001219949,0.001402631,0.001097247
NP-106-515-724_F_filt.fastq.gz,ArtemiaW3,0.007729981,0.007729981,0.002101352,0.001737104,0.001590066,0.001590066,0.00179411,0.001530915,0.001530915,0.001762201,0.00150814,0.00150242,0.001382406,0.001394326,0.001222726
NP-120-502-727_F_filt.fastq.gz,ZooplanktonW4,0.00073684,0.00073684,0.000702297,0.001610777,0.002925463,0.002925463,0.001358455,0.002866627,0.002866627,0.001722203,0.002443977,0.002271727,0.002461851,0.001890763,0.002923766
NP-121-503-727_F_filt.fastq.gz,ZooplanktonW4,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-122-505-727_F_filt.fastq.gz,ZooplanktonW4,0.004905077,0.004905077,0.002367579,0.002552015,0.002025358,0.002025358,0.002157,0.001972297,0.001972297,0.002517678,0.000473345,0.00122368,0.001678062,0.00233896,0.001581753
NP-123-506-727_F_filt.fastq.gz,ZooplanktonW4,0.004559823,0.004559823,0.001213381,0.001022296,0.002890376,0.002890376,0.001029295,0.002618864,0.002618864,0.001627221,0.000976247,0.001784374,0.002324542,0.002248949,0.002236342
NP-126-510-728_F_filt.fastq.gz,ZooplanktonW4,0.005934848,0.005934848,0.002056865,0.001701252,0.001837484,0.001837484,0.001697564,0.001777168,0.001777168,0.001254326,0.001955445,0.001535609,0.001592936,0.001442231,0.001722915
NP-127-511-728_F_filt.fastq.gz,ZooplanktonW4,0.000640782,0.000640782,0.001056273,0.0017503,0.002882482,0.002882482,0.002137676,0.002832084,0.002832084,0.001820199,0.001200194,0.001287176,0.002415335,0.001635678,0.003363906
NP-128-513-728_F_filt.fastq.gz,ZooplanktonW4,0.006454237,0.006454237,0.002282337,0.001717232,0.001711287,0.001711287,0.001731726,0.001631476,0.001631476,0.001198977,0.002241434,0.001638946,0.00149162,0.001405121,0.001419396
NP-129-515-728_F_filt.fastq.gz,ZooplanktonW4,0.005509141,0.005509141,0.001589278,0.001902531,0.002292074,0.002292074,0.001821782,0.002218753,0.002218753,0.002613248,0.0011519,0.001733206,0.001915354,0.001790407,0.001879999
NP-133-520-723_F_filt.fastq.gz,ZooplanktonW4,0.006953549,0.006953549,0.00240979,0.001740188,0.00158672,0.00158672,0.001772297,0.001511614,0.001511614,0.001139949,0.002217201,0.001587439,0.001390382,0.001364812,0.001260547
NP-139-506-729_F_filt.fastq.gz,ArtemiaW4,0.006636408,0.006636408,0.00213216,0.0019418,0.002252855,0.002252855,0.001633896,0.002137836,0.002137836,0.001230339,0.001750396,0.001826815,0.001905759,0.001699075,0.001683174
NP-140-507-729_F_filt.fastq.gz,ArtemiaW4,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-141-508-729_F_filt.fastq.gz,ArtemiaW4,0.006540517,0.006540517,0.002111669,0.001762787,0.001794265,0.001794265,0.001775347,0.001732706,0.001732706,0.001447762,0.00173146,0.001517489,0.001549621,0.001471066,0.001553501
NP-144-513-729_F_filt.fastq.gz,ArtemiaW4,0.007742316,0.007742316,0.002106095,0.001737363,0.001588982,0.001588982,0.001795013,0.001529782,0.001529782,0.001757502,0.001511142,0.001501974,0.001382037,0.0013935,0.001221474
NP-146-516-701_F_filt.fastq.gz,ArtemiaW4,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-147-517-701_F_filt.fastq.gz,ArtemiaW4,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-150-521-701_F_filt.fastq.gz,ArtemiaW4,0.007244113,0.007244113,0.002489564,0.001780386,0.00150978,0.00150978,0.001792025,0.001446365,0.001446365,0.001135019,0.00211084,0.001564577,0.001347447,0.001357695,0.001152924
NP-151-522-701_F_filt.fastq.gz,ArtemiaW4,0.007747758,0.007747758,0.002101907,0.001736893,0.001589847,0.001589847,0.001795045,0.001530693,0.001530693,0.001764301,0.001504592,0.00150129,0.001382415,0.001393891,0.001222222
NP-152-502-701_F_filt.fastq.gz,ArtemiaW4,0.003638631,0.003638631,0.002159555,0.001807191,0.00144184,0.00144184,0.001590044,0.001383511,0.001383511,0.001133203,0.002403511,0.001717128,0.001208162,0.001442764,0.001099698
NP-153-503-701_F_filt.fastq.gz,ArtemiaW4,0.002449751,0.002449751,0.002175511,0.001827412,0.001399074,0.001399074,0.001530994,0.001340993,0.001340993,0.00095058,0.00266263,0.001779559,0.001157808,0.001456995,0.001064312
