Genus,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,,,,,,,
Collimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Romboutsia,0,0,0,0,0,0,0,0,0,0,0,0,4,0.307692308,4.40E-05,0.004395604,,,,
Variovorax,0,0,0,0,0,0,0,0,0,0,1,0,0,0.076923077,1.10E-05,0.001098901,,,,
Methyloversatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Methylomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Planococcus,23,49,30,5,47,7,2,1,4,42,13,1,15,18.38461538,0.002626374,0.262637363,,,,
Pseudocitrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Yangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Gillisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Janthinobacterium,2,5,0,0,0,2,1,0,0,0,1,0,3,1.076923077,0.000153846,0.015384615,,,,
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Microbacterium,11,50,6,12,14,10,16,22,37,73,20,20,30,,,,,,,
Alkanindiges,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicola,6,3,0,0,24,0,1,0,1,0,0,0,0,,,,,,,
Hydrogenophaga,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Shinella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sediminibacterium,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tabrizicola,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Herminiimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Curvibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhizobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrisporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemmobacter,30,26,18,0,9,4,0,0,0,0,7,0,0,,,,,,,
Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paenicardinium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoferax,1,0,0,0,2,0,0,0,2,0,0,0,0,,,,,,,
Kluyvera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erythrobacter,0,0,11,0,0,0,0,0,0,0,0,0,3,,,,,,,
Brevundimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salinimicrobium,0,17,1,0,6,0,0,0,0,0,0,0,0,,,,,,,
hgcI_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georgfuchsia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodobacter,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lactococcus,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polynucleobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paucibacter,0,2,0,0,0,0,0,0,1,0,7,0,0,,,,,,,
Apibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moritella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptoniphilus,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
Sporocytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rothia,0,0,87,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yersinia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Novosphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paraclostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudorhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Legionella,2,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polaromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeotgalibacillus,0,0,0,0,0,0,0,0,0,4,1,3,0,,,,,,,
Geobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polymorphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flectobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Dinghuibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Lumbricincola,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bergeyella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Duganella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ideonella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Noviherbaspirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pelomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Silanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zoogloea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrilyobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haemophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Tenderia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Runella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neochlamydia,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliidiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingorhabdus,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingopyxis,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ralstonia,0,19,0,0,0,0,0,0,0,0,0,3,0,,,,,,,
Brevifollis,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium_1,0,5,0,0,0,0,0,0,0,2,0,0,3,,,,,,,
Ferribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ferruginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
UKL13-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atlantibacter,0,0,0,0,0,0,0,1,0,3,1,0,0,,,,,,,
Peredibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Iodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chroococcidiopsis_SAG_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pantoea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dolosigranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Staphylococcus,0,2,0,0,0,0,0,0,0,0,0,0,8,,,,,,,
Nitrospira,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bosea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oligoflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rubellimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Solitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Borreliella,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoduganella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prosthecobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Epulopiscium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moheibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MIZ17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BD1-7_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Idiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Buttiauxella,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Cephaloticoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bdellovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gallionella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ciceribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarthrobacter,0,8,0,2,0,0,0,0,2,0,0,0,0,,,,,,,
Anaerococcus,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,
Phaselicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Coxiella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Defluviimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leucobacter,0,0,0,0,0,0,0,0,2,1,0,0,0,,,,,,,
Delftia,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylotenera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
WCHB1-32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Inhella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Homoserinimonas,0,3,0,0,0,1,0,3,0,0,0,0,0,,,,,,,
GKS98_freshwater_group,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kosakonia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MND1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodonellum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporanaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OM27_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquabacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoruegeria,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,,,
Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Finegoldia,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Empedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dialister,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paenarthrobacter,1,0,0,0,0,0,1,0,0,0,0,3,0,,,,,,,
Denitratisoma,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OLB12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alishewanella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chitinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Lutispora,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudohongiella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roseicitreum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingomicrobium,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliangium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chthoniobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliihoeflea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tropicimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nosocomiicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fodinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Myroides,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
S5-A14a,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oleispira,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cereibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Nucleicultrix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kushneria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SM1A02,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Basilea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Xenophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marivita,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylocaldum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Halodurantibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylibium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Huakuichenia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marinilactibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vagococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oceanibulbus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Blautia,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alkalimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yonghaparkia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ureibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylobacterium,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Faecalibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellulosilyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylospira,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandarakinorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Spongiivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kinneretia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CL500-29_marine_group,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Desulforhopalus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Agathobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
