Genus,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,,,Aeromonas,Deefgea,ClostridiumSS1,,
Clostridium_sensu_stricto_1,38,163,75,388,20,208,62,41,74,17,139,76,616,147.4615385,0.021065934,2.106593407,173.4467331,0.024778105,2.477810473,0.687220978
Exiguobacterium,0,0,24,15,22,14,0,0,3,0,0,5,2,6.538461538,0.000934066,0.093406593,,,,
Acidovorax,0,0,49,0,4,0,0,0,0,0,3,4,3,4.846153846,0.000692308,0.069230769,,,,
Rheinheimera,0,0,115,271,7,10,6,0,1,431,104,49,7,77,0.011,1.1,,,,
Photobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Leptothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Chryseomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sphaerotilus,2,0,198,3,0,1,0,0,0,0,5,44,5,19.84615385,0.002835165,0.283516484,,,,
Domibacillus,0,0,0,5,0,0,0,0,0,0,0,0,0,0.384615385,5.49451E-05,0.005494505,,,,
Chryseobacterium,0,0,413,12,0,2,0,0,0,2,19,19,1,36,0.005142857,0.514285714,,,,
Citrobacter,0,0,0,2,0,0,0,0,0,0,0,0,0,0.153846154,2.1978E-05,0.002197802,,,,
Psychrobacter,0,0,0,315,0,0,0,0,0,0,0,0,0,24.23076923,0.003461538,0.346153846,,,,
Vogesella,0,0,15,0,0,7,0,0,6,27,18,8,0,6.230769231,0.00089011,0.089010989,,,,
Halomonas,0,0,0,15,0,0,0,0,0,0,0,0,0,1.153846154,0.000164835,0.016483516,,,,
Acinetobacter,83,8,93,6,1,56,20,8,20,8,38,14,62,32.07692308,0.004582418,0.458241758,,,,
Cedecea,0,0,0,52,0,0,0,0,0,0,0,0,0,4,0.000571429,0.057142857,,,,
Limnohabitans,0,0,58,39,0,38,0,0,0,0,83,32,27,21.30769231,0.003043956,0.304395604,,,,
Mitsuaria,0,0,34,0,0,3,0,0,7,14,23,18,0,7.615384615,0.001087912,0.108791209,,,,
Salegentibacter,0,0,0,2,0,0,0,0,0,0,0,0,0,0.153846154,2.1978E-05,0.002197802,,,,
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Algoriphagus,0,0,0,3,0,0,0,0,0,0,0,0,0,0.230769231,3.2967E-05,0.003296703,,,,
Emticicia,0,0,293,1,0,27,0,0,0,0,2,32,0,27.30769231,0.003901099,0.39010989,,,,
Undibacterium,0,0,1,0,0,0,0,0,2,0,13,1,0,1.307692308,0.000186813,0.018681319,,,,
Raoultella,0,0,0,4,0,0,0,0,0,0,0,0,0,0.307692308,4.3956E-05,0.004395604,,,,
Collimonas,0,0,0,0,0,0,0,0,0,0,3,0,0,0.230769231,3.2967E-05,0.003296703,,,,
Romboutsia,12,35,5,11,15,24,12,3,42,1,10,10,188,28.30769231,0.004043956,0.404395604,,,,
Variovorax,0,0,10,40,0,7,0,0,0,0,1,8,7,5.615384615,0.000802198,0.08021978,,,,
Methyloversatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Methylomonas,0,0,636,0,0,0,0,0,0,0,3,7,0,49.69230769,0.007098901,0.70989011,,,,
Planococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Pseudocitrobacter,0,0,0,2,0,0,0,0,0,0,0,0,0,0.153846154,2.1978E-05,0.002197802,,,,
Yangia,0,0,0,1,0,0,0,0,0,0,0,0,0,0.076923077,1.0989E-05,0.001098901,,,,
Gillisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Janthinobacterium,0,0,19,0,3,0,0,2,1,0,0,2,0,2.076923077,0.000296703,0.02967033,,,,
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Microbacterium,0,0,0,1,0,0,0,0,0,0,0,1,0,0.153846154,2.1978E-05,0.002197802,,,,
Alkanindiges,0,0,5,0,0,5,0,0,0,0,9,23,0,3.230769231,0.000461538,0.046153846,,,,
Fluviicola,0,0,148,0,0,20,0,0,9,0,16,25,0,16.76923077,0.002395604,0.23956044,,,,
Hydrogenophaga,0,0,105,0,0,0,0,0,1,0,0,0,3,,,,,,,
Shinella,0,0,54,0,93,3,0,0,2,1,3,10,7,,,,,,,
Sediminibacterium,0,0,9,0,0,6,0,0,1,0,1,7,0,,,,,,,
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tabrizicola,0,0,59,0,5,0,1,0,0,0,0,6,6,,,,,,,
Herminiimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Curvibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhizobacter,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,
Terrisporobacter,3,12,0,1,0,0,0,0,6,0,5,3,15,,,,,,,
Gemmobacter,0,0,14,2,12,0,0,0,8,0,8,74,14,,,,,,,
Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pedobacter,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paenicardinium,0,0,0,58,0,0,0,0,0,9,0,0,60,,,,,,,
Rhodoferax,0,0,226,1,0,0,0,0,0,0,1,33,0,,,,,,,
Kluyvera,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Erythrobacter,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,
Brevundimonas,0,0,6,0,0,0,0,0,2,0,4,1,0,,,,,,,
Aliivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
hgcI_clade,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georgfuchsia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodobacter,0,0,12,0,19,0,0,0,0,0,0,1,0,,,,,,,
Lactococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polynucleobacter,1,1,58,1,0,8,3,0,0,0,20,5,13,,,,,,,
Paucibacter,0,0,25,0,0,0,0,0,0,8,1,4,0,,,,,,,
Apibacter,0,0,37,0,0,4,0,0,0,0,0,41,98,,,,,,,
Luteolibacter,0,0,60,1,0,2,0,0,3,0,0,5,4,,,,,,,
Neorickettsia,0,0,0,0,0,0,0,0,17,0,0,0,52,,,,,,,
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moritella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporocytophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yersinia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Novosphingobium,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Bacillus,1,2,2,0,0,2,0,0,3,0,5,4,46,,,,,,,
Paraclostridium,1,1,4,0,0,3,4,0,0,0,3,0,33,,,,,,,
Lacihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudorhodobacter,5,0,76,8,4,5,1,1,0,11,1,3,26,,,,,,,
Legionella,0,0,1,0,0,0,0,0,1,0,0,0,1,,,,,,,
Polaromonas,0,0,0,0,0,0,0,0,0,0,50,0,0,,,,,,,
Kocuria,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeotgalibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polymorphobacter,0,0,0,0,0,4,0,0,0,0,0,0,1,,,,,,,
Flectobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phenylobacterium,0,0,0,0,0,0,0,0,3,0,0,4,0,,,,,,,
Dinghuibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarcicella,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Lumbricincola,0,0,0,0,0,0,0,0,25,0,1,1,20,,,,,,,
Bergeyella,8,0,0,0,0,0,0,0,0,0,0,6,39,,,,,,,
Duganella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylopumilus,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ideonella,0,0,8,0,0,0,0,0,0,0,0,1,0,,,,,,,
Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Noviherbaspirillum,0,0,3,0,0,3,0,0,0,0,0,0,0,,,,,,,
Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,
Pelomonas,0,0,2,0,1,1,0,1,3,0,0,0,0,,,,,,,
Sphingobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyrobacter,0,0,9,0,0,0,0,0,0,0,0,2,0,,,,,,,
Silanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Zoogloea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrilyobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haemophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Tenderia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Runella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliidiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingorhabdus,0,0,4,0,0,0,0,0,0,0,4,0,0,,,,,,,
Streptococcus,0,0,6,0,0,0,0,1,0,0,0,0,1,,,,,,,
Sphingopyxis,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pajaroellobacter,0,0,6,0,0,0,0,0,0,0,0,5,0,,,,,,,
Terrimonas,0,0,11,0,0,0,0,0,0,0,0,7,0,,,,,,,
Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ralstonia,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brevifollis,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium_1,0,0,2,0,0,0,0,0,2,0,0,0,11,,,,,,,
Ferribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ferruginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_9,0,3,0,0,0,0,2,0,2,0,0,0,12,,,,,,,
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
UKL13-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atlantibacter,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,
Peredibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Iodobacter,0,0,0,0,0,0,0,0,0,2,5,0,0,,,,,,,
Clostridium_sensu_stricto_13,2,1,0,1,0,6,0,0,0,0,0,2,10,,,,,,,
Chroococcidiopsis_SAG_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pantoea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dolosigranulum,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
Staphylococcus,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nitrospira,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bosea,0,0,7,0,2,0,0,0,0,0,0,0,6,,,,,,,
Oligoflexus,0,0,0,0,1,3,0,0,0,0,0,0,0,,,,,,,
Rubellimicrobium,0,0,0,1,0,0,0,0,0,0,0,7,0,,,,,,,
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Solitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cytophaga,0,0,2,0,0,1,0,0,0,0,2,0,0,,,,,,,
Borreliella,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoduganella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prosthecobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquibacillus,0,0,0,0,0,0,0,0,0,0,3,7,0,,,,,,,
Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Epulopiscium,0,0,0,0,0,0,0,0,0,0,0,1,16,,,,,,,
Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moheibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MIZ17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
BD1-7_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Idiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Buttiauxella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cephaloticoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bdellovibrio,0,0,23,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gallionella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ciceribacter,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,
Pseudarthrobacter,1,0,0,0,3,0,0,0,0,1,0,0,0,,,,,,,
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phaselicystis,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Coxiella,0,0,0,0,6,0,0,0,0,0,0,0,0,,,,,,,
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Defluviimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leucobacter,0,0,2,0,0,0,0,0,0,2,0,1,1,,,,,,,
Delftia,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylotenera,0,0,19,0,0,0,0,0,0,0,0,4,0,,,,,,,
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
WCHB1-32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fusobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Inhella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Homoserinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
GKS98_freshwater_group,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
Kosakonia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacter,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,
Tepidiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MND1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodonellum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporanaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OM27_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquabacterium,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoruegeria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,
Finegoldia,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Finniella,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,
Empedobacter,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,
Dialister,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paenarthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Denitratisoma,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
OLB12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Crocinitomix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alishewanella,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Chitinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lutispora,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudohongiella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Roseicitreum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,
Rahnella,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliangium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chthoniobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliihoeflea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tropicimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nosocomiicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fodinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rickettsia,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Myroides,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
S5-A14a,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oleispira,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cereibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Nucleicultrix,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kushneria,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
SM1A02,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Basilea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Xenophilus,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marivita,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteriovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylocaldum,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,
Halodurantibacterium,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
Methylibium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Huakuichenia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marinilactibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vagococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oceanibulbus,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Blautia,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alkalimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yonghaparkia,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ureibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Faecalibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellulosilyticum,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylospira,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
Sandarakinorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Spongiivirga,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
Kinneretia,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
CL500-29_marine_group,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Desulforhopalus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
