Genus,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,,,,,,,
Chryseomicrobium,4,0,3,1,2,1,2,1,2,0,1.6,0.000228571,0.022857143,1.264911064,0.000180702,0.018070158,0.005714286
Sphaerotilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domibacillus,17,8,14,1,13,11,16,2,11,2,9.5,0.001357143,0.135714286,5.986094999,0.000855156,0.085515643,0.027042421
Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychrobacter,26,221,4,170,138,2,650,24,0,59,129.4,0.018485714,1.848571429,199.0517521,0.028435965,2.843596459,0.899224156
Vogesella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halomonas,5,6,7,32,1,4,10,0,4,8,7.7,0.0011,0.11,9.055998626,0.001293714,0.129371409,0.040910832
Acinetobacter,3,3,10,30,78,47,3,2,44,0,22,0.003142857,0.314285714,26.70830083,0.003815472,0.381547155,0.120655804
Cedecea,46,91,28,160,99,360,138,137,40,219,131.8,0.018828571,1.882857143,99.91307333,0.014273296,1.427329619,0.451361257
Limnohabitans,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mitsuaria,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salegentibacter,0,1,15,1,0,0,0,0,0,0,,,,,,,
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Algoriphagus,0,0,2,1,0,0,0,0,0,0,,,,,,,
Emticicia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Undibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Raoultella,0,0,0,0,0,0,0,0,2,0,,,,,,,
Collimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Romboutsia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Variovorax,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methyloversatilis,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planococcus,0,0,0,0,2,0,0,0,0,0,,,,,,,
Pseudocitrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yangia,1,0,0,1,3,0,3,0,0,5,,,,,,,
Gillisia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Janthinobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Microbacterium,0,0,1,0,0,0,1,0,2,0,,,,,,,
Alkanindiges,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicola,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,,,,,,,
Shinella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sediminibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tabrizicola,0,0,0,0,0,0,0,0,0,0,,,,,,,
Herminiimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Curvibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arenimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhizobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrisporobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemmobacter,1,0,0,1,0,0,0,0,1,1,,,,,,,
Sphingomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pedobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paenicardinium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoferax,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kluyvera,0,0,0,0,0,0,0,0,0,0,,,,,,,
Erythrobacter,0,1,1,1,1,1,1,0,1,3,,,,,,,
Brevundimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliivibrio,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salinimicrobium,2,0,19,1,0,0,2,0,0,0,,,,,,,
hgcI_clade,0,0,0,0,0,0,0,0,0,0,,,,,,,
Georgfuchsia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodobacter,0,0,0,0,2,0,0,0,0,0,,,,,,,
Lactococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polynucleobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paucibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Apibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Luteolibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorickettsia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mycobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moritella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporocytophaga,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodoluna,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weissella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rothia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Yersinia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Novosphingobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paraclostridium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacihabitans,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudorhodobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Legionella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polaromonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kocuria,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeotgalibacillus,0,0,2,0,0,2,2,0,0,0,,,,,,,
Geobacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cetobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Polymorphobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flectobacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dinghuibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudarcicella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Lumbricincola,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bergeyella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Duganella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylopumilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ideonella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Massilia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Noviherbaspirillum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pelomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Silanimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caulobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zoogloea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Psychrilyobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haemophilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Tenderia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Runella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neochlamydia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliidiomarina,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingorhabdus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Streptococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingopyxis,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terrimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lactobacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ralstonia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brevifollis,0,0,0,0,0,0,0,0,0,0,,,,,,,
Corynebacterium_1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ferribacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ferruginibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_9,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flavihumibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
UKL13-1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atlantibacter,0,0,1,4,3,0,0,0,0,0,,,,,,,
Peredibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Limnobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Iodobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_13,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chroococcidiopsis_SAG_2023,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vibrio,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pantoea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dolosigranulum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Staphylococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nitrospira,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bosea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oligoflexus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rubellimicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Solitalea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cytophaga,0,0,0,0,0,0,0,0,0,0,,,,,,,
Borreliella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoduganella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Proteiniphilum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prosthecobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquibacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliscomenobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Epulopiscium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enterococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Flexibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azomonas,0,0,0,16,0,0,0,0,0,0,,,,,,,
Dyadobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Moheibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinus,0,0,0,0,0,0,0,0,0,0,,,,,,,
MIZ17,0,0,0,0,0,0,0,0,0,0,,,,,,,
BD1-7_clade,0,0,0,0,0,0,0,0,0,0,,,,,,,
Idiomarina,4,0,0,0,0,0,0,0,0,0,,,,,,,
Buttiauxella,0,0,3,0,2,0,1,0,2,0,,,,,,,
Cephaloticoccus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Macrococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bdellovibrio,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cupriavidus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gallionella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0,0,,,,,,,
Reyranella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Megasphaera,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ciceribacter,0,0,1,0,0,0,0,0,1,0,,,,,,,
Pseudarthrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anaerococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Phaselicystis,0,0,0,0,0,0,0,0,0,0,,,,,,,
Coxiella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellvibrio,0,0,0,0,0,0,0,0,0,0,,,,,,,
Defluviimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leucobacter,0,0,0,0,0,0,0,0,1,0,,,,,,,
Delftia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Afipia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylotenera,0,0,0,0,0,0,0,0,0,0,,,,,,,
Verrucomicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caenimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Planomicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
WCHB1-32,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geothrix,0,0,0,0,0,0,0,0,0,0,,,,,,,
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fusobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lysinibacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_7,0,0,0,0,0,0,0,0,0,0,,,,,,,
Inhella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Homoserinimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
GKS98_freshwater_group,0,0,0,0,0,0,0,0,0,0,,,,,,,
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kosakonia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Geobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tepidiphilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
MND1,0,0,0,0,0,0,0,0,0,0,,,,,,,
Thermomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rhodonellum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sporanaerobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
OM27_clade,0,0,0,0,0,0,0,0,0,0,,,,,,,
Neorhizobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquabacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoruegeria,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Finegoldia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Peptostreptococcus,0,0,0,1,0,0,0,0,0,0,,,,,,,
Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Empedobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Porphyromonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dialister,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fluviicoccus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paenarthrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Denitratisoma,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nevskia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Gemella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteroides,0,0,0,0,0,0,0,0,0,0,,,,,,,
OLB12,0,0,0,0,0,0,0,0,0,0,,,,,,,
Crocinitomix,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alishewanella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chitinibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Subdoligranulum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Glutamicibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lutispora,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cutibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudohongiella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roseicitreum,0,0,0,7,0,0,0,0,0,0,,,,,,,
Psychromonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Leuconostoc,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sphingomicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rahnella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Haliangium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chthoniobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aliihoeflea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tropicimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nosocomiicoccus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Comamonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Fodinicola,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hyphomicrobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hydrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rickettsia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Propionibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Myroides,0,0,0,0,0,0,0,0,0,0,,,,,,,
S5-A14a,0,0,0,0,0,0,0,0,0,0,,,,,,,
Azospirillum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oleispira,0,0,0,0,0,0,0,0,0,0,,,,,,,
Carnobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cereibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Nucleicultrix,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kushneria,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_9,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylophilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
SM1A02,0,0,0,0,0,0,0,0,0,0,,,,,,,
Basilea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Xenophilus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hymenobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marivita,0,0,0,0,0,0,0,0,0,0,,,,,,,
Knoellia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bacteriovorax,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylocaldum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Halodurantibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylibium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Huakuichenia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Marinilactibacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Vagococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Oceanibulbus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Blautia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alkalimonas,0,0,0,0,0,0,0,0,2,0,,,,,,,
Yonghaparkia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Ureibacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylobacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Faecalibacterium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cellulosilyticum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Candidatus_Methylospira,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandarakinorhabdus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Atopobium,0,0,0,0,0,0,0,0,0,0,,,,,,,
Spongiivirga,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kinneretia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Sandaracinobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
CL500-29_marine_group,0,0,0,0,0,0,0,0,0,0,,,,,,,
Desulforhopalus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Prevotella_7,0,0,0,0,0,0,0,0,0,0,,,,,,,
Agathobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mycoplana,0,0,0,0,0,0,0,0,0,0,,,,,,,
Holospora,0,0,0,0,0,0,0,0,0,0,,,,,,,
Salinirepens,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chitinimonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Arthrobacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pararhodospirillum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudacidovorax,0,0,0,0,0,0,0,0,0,0,,,,,,,
Methylocystis,0,0,0,0,0,0,0,0,0,0,,,,,,,
Actinomyces,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_15,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rivibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Hypnocyclicus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lacunisphaera,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cavicella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paludibaculum,0,0,0,0,0,0,0,0,0,0,,,,,,,
Paenibacillus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Malikia,0,0,0,0,0,0,0,0,0,0,,,,,,,
Clostridium_sensu_stricto_4,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rugamonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Asaccharospora,0,0,0,0,0,0,0,0,0,0,,,,,,,
Niveitalea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Roseococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Weeksella,0,0,0,0,0,0,0,0,0,0,,,,,,,
Caviibacter,0,0,0,0,0,0,0,0,0,0,,,,,,,
Anthococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Aquincola,0,0,0,0,0,0,0,0,0,0,,,,,,,
Pseudoflavitalea,0,0,0,0,0,0,0,0,0,0,,,,,,,
Parablastomonas,0,0,0,0,0,0,0,0,0,0,,,,,,,
Desulfatiglans,0,0,0,0,0,0,0,0,0,0,,,,,,,
Cyanobium_PCC-6307,0,0,0,0,0,0,0,0,0,0,,,,,,,
Deinococcus,0,0,0,0,0,0,0,0,0,0,,,,,,,
Giesbergeria,0,0,0,0,0,0,0,0,0,0,,,,,,,
