Genus,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,,,,,,,
Candidatus_Paenicardinium,0,0,0,,,,,,,
Rhodoferax,0,0,0,,,,,,,
Kluyvera,0,0,0,,,,,,,
Erythrobacter,0,0,0,,,,,,,
Brevundimonas,34,45,16,,,,,,,
Aliivibrio,0,0,0,,,,,,,
Salinimicrobium,0,0,0,,,,,,,
hgcI_clade,0,0,0,,,,,,,
Georgfuchsia,0,0,0,,,,,,,
Rhodobacter,0,0,0,,,,,,,
Lactococcus,0,0,0,,,,,,,
Polynucleobacter,0,0,0,,,,,,,
Paucibacter,19,0,18,,,,,,,
Apibacter,0,0,0,,,,,,,
Luteolibacter,0,0,0,,,,,,,
Neorickettsia,0,0,0,,,,,,,
Mycobacterium,0,0,0,,,,,,,
Moritella,0,0,0,,,,,,,
Peptoniphilus,213,0,10,,,,,,,
Sporocytophaga,0,0,0,,,,,,,
Rhodoluna,0,0,0,,,,,,,
Weissella,0,0,0,,,,,,,
Rothia,0,0,0,,,,,,,
Pseudoalteromonas,0,0,0,,,,,,,
Yersinia,0,0,0,,,,,,,
Cloacibacterium,0,0,0,,,,,,,
Novosphingobium,0,71,0,,,,,,,
Bacillus,0,0,0,,,,,,,
Paraclostridium,0,0,0,,,,,,,
Lacihabitans,0,9,0,,,,,,,
Pseudorhodobacter,0,0,0,,,,,,,
Legionella,0,0,0,,,,,,,
Polaromonas,0,7,0,,,,,,,
Kocuria,0,0,0,,,,,,,
Jeotgalibacillus,0,0,0,,,,,,,
Geobacillus,0,0,0,,,,,,,
Cetobacterium,0,0,0,,,,,,,
Polymorphobacter,0,0,0,,,,,,,
Flectobacillus,0,0,18,,,,,,,
Phenylobacterium,75,0,0,,,,,,,
Dinghuibacter,0,0,0,,,,,,,
Pseudarcicella,0,0,0,,,,,,,
Candidatus_Lumbricincola,0,0,0,,,,,,,
Bergeyella,0,0,0,,,,,,,
Duganella,0,0,16,,,,,,,
Candidatus_Methylopumilus,0,0,0,,,,,,,
Corynebacterium,0,0,0,,,,,,,
Ideonella,0,0,0,,,,,,,
Massilia,0,0,0,,,,,,,
Noviherbaspirillum,0,0,0,,,,,,,
Aurantimicrobium,0,0,0,,,,,,,
Pelomonas,0,0,0,,,,,,,
Sphingobium,37,9,17,,,,,,,
Porphyrobacter,0,0,0,,,,,,,
Silanimonas,0,0,0,,,,,,,
Caulobacter,61,0,11,,,,,,,
Zoogloea,0,13,32,,,,,,,
Psychrilyobacter,0,0,0,,,,,,,
Haemophilus,0,56,14,,,,,,,
Candidatus_Tenderia,0,0,0,,,,,,,
Runella,0,0,0,,,,,,,
Neochlamydia,0,0,0,,,,,,,
Aliidiomarina,0,0,0,,,,,,,
Sphingorhabdus,0,13,0,,,,,,,
Streptococcus,0,0,0,,,,,,,
Sphingopyxis,0,0,9,,,,,,,
Pajaroellobacter,0,0,0,,,,,,,
Terrimonas,0,0,0,,,,,,,
Lactobacillus,0,0,0,,,,,,,
Ralstonia,15,3,0,,,,,,,
Brevifollis,0,0,0,,,,,,,
Corynebacterium_1,51,12,0,,,,,,,
Ferribacterium,56,6,0,,,,,,,
Ferruginibacter,0,0,0,,,,,,,
Clostridium_sensu_stricto_9,0,0,0,,,,,,,
Flavihumibacter,0,0,0,,,,,,,
UKL13-1,0,0,0,,,,,,,
Atlantibacter,0,0,0,,,,,,,
Peredibacter,0,0,0,,,,,,,
Limnobacter,0,0,0,,,,,,,
Iodobacter,0,0,0,,,,,,,
Clostridium_sensu_stricto_13,0,0,0,,,,,,,
Chroococcidiopsis_SAG_2023,0,0,0,,,,,,,
Vibrio,0,0,0,,,,,,,
Pantoea,0,0,0,,,,,,,
Dolosigranulum,0,0,0,,,,,,,
Staphylococcus,34,0,0,,,,,,,
Nitrospira,0,0,0,,,,,,,
Bosea,0,0,0,,,,,,,
Oligoflexus,0,0,0,,,,,,,
Rubellimicrobium,0,0,0,,,,,,,
Candidatus_Omnitrophus,0,0,0,,,,,,,
Tepidibacter,0,0,0,,,,,,,
Solitalea,0,0,0,,,,,,,
Cytophaga,0,0,0,,,,,,,
Borreliella,0,0,0,,,,,,,
Bifidobacterium,0,0,0,,,,,,,
Pseudoduganella,0,0,0,,,,,,,
Lysobacter,0,0,0,,,,,,,
Proteiniphilum,0,0,0,,,,,,,
Prosthecobacter,0,0,0,,,,,,,
Aquibacillus,0,0,0,,,,,,,
Haliscomenobacter,0,0,0,,,,,,,
Epulopiscium,0,0,0,,,,,,,
Enterococcus,0,0,0,,,,,,,
Flexibacter,0,0,0,,,,,,,
Azomonas,0,0,0,,,,,,,
Dyadobacter,0,0,13,,,,,,,
Moheibacter,0,0,0,,,,,,,
Sandaracinus,0,0,0,,,,,,,
MIZ17,0,0,0,,,,,,,
BD1-7_clade,0,0,0,,,,,,,
Idiomarina,0,0,0,,,,,,,
Buttiauxella,0,0,0,,,,,,,
Cephaloticoccus,0,0,0,,,,,,,
Macrococcus,0,0,0,,,,,,,
Bdellovibrio,0,0,0,,,,,,,
Cupriavidus,0,0,0,,,,,,,
Gallionella,0,0,0,,,,,,,
Aphanizomenon_NIES81,0,0,0,,,,,,,
Reyranella,0,0,0,,,,,,,
Megasphaera,0,0,0,,,,,,,
Ciceribacter,0,0,0,,,,,,,
Pseudarthrobacter,0,0,0,,,,,,,
Anaerococcus,0,0,0,,,,,,,
Phaselicystis,0,0,0,,,,,,,
Coxiella,0,0,0,,,,,,,
Perlucidibaca,0,0,0,,,,,,,
Cellvibrio,0,0,0,,,,,,,
Defluviimonas,0,0,0,,,,,,,
Leucobacter,0,0,0,,,,,,,
Delftia,0,0,0,,,,,,,
Afipia,23,0,0,,,,,,,
Methylotenera,0,0,0,,,,,,,
Verrucomicrobium,0,0,0,,,,,,,
Candidatus_Planktophila,0,0,0,,,,,,,
Caenimonas,0,0,0,,,,,,,
Planomicrobium,0,0,0,,,,,,,
Bradyrhizobium,0,5,0,,,,,,,
WCHB1-32,0,0,0,,,,,,,
Geothrix,0,0,0,,,,,,,
Enhydrobacter,0,0,0,,,,,,,
Fusobacterium,0,0,0,,,,,,,
Rhodococcus,0,0,0,,,,,,,
Lysinibacillus,0,0,0,,,,,,,
Clostridium_sensu_stricto_7,0,0,0,,,,,,,
Inhella,0,0,0,,,,,,,
Homoserinimonas,0,0,0,,,,,,,
GKS98_freshwater_group,0,0,0,,,,,,,
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,,,,,,,
Kosakonia,0,0,0,,,,,,,
Geobacter,0,0,0,,,,,,,
Tepidiphilus,0,0,0,,,,,,,
MND1,0,0,0,,,,,,,
Thermomonas,0,0,0,,,,,,,
Rhodonellum,0,0,0,,,,,,,
Sporanaerobacter,0,0,0,,,,,,,
OM27_clade,0,0,0,,,,,,,
Neorhizobium,0,0,0,,,,,,,
Aquabacterium,0,10,0,,,,,,,
Pseudoruegeria,0,0,0,,,,,,,
Prevotella,0,0,0,,,,,,,
Finegoldia,0,0,0,,,,,,,
Peptostreptococcus,0,0,0,,,,,,,
Candidatus_Finniella,0,0,0,,,,,,,
Empedobacter,0,0,0,,,,,,,
Porphyromonas,0,0,0,,,,,,,
Dialister,0,0,0,,,,,,,
Fluviicoccus,0,0,0,,,,,,,
Candidatus_Paracaedibacter,0,0,0,,,,,,,
Paenarthrobacter,0,0,0,,,,,,,
Denitratisoma,0,0,0,,,,,,,
Nevskia,0,9,0,,,,,,,
Gemella,0,0,0,,,,,,,
Bacteroides,0,0,0,,,,,,,
OLB12,0,0,0,,,,,,,
Crocinitomix,0,0,0,,,,,,,
Alishewanella,0,0,0,,,,,,,
Chitinibacter,0,0,0,,,,,,,
Subdoligranulum,0,0,0,,,,,,,
Glutamicibacter,0,0,0,,,,,,,
Lutispora,0,0,0,,,,,,,
Cutibacterium,0,0,0,,,,,,,
Pseudohongiella,0,0,0,,,,,,,
Stenotrophomonas,0,0,0,,,,,,,
Roseicitreum,0,0,0,,,,,,,
Psychromonas,0,0,0,,,,,,,
Leuconostoc,0,0,0,,,,,,,
Sphingomicrobium,0,0,0,,,,,,,
Anaerosporobacter,0,0,0,,,,,,,
Rahnella,0,0,0,,,,,,,
Haliangium,0,0,0,,,,,,,
Chthoniobacter,0,0,0,,,,,,,
Aliihoeflea,0,0,0,,,,,,,
Tropicimonas,0,0,0,,,,,,,
Nosocomiicoccus,0,0,0,,,,,,,
Comamonas,0,0,0,,,,,,,
Fodinicola,0,0,0,,,,,,,
Hyphomicrobium,0,0,0,,,,,,,
Hydrobacter,0,0,0,,,,,,,
Rickettsia,0,0,0,,,,,,,
Propionibacterium,0,0,0,,,,,,,
Myroides,0,0,0,,,,,,,
S5-A14a,0,0,0,,,,,,,
Azospirillum,0,0,0,,,,,,,
Oleispira,0,0,0,,,,,,,
Carnobacterium,0,0,0,,,,,,,
Cereibacter,0,0,0,,,,,,,
Candidatus_Nucleicultrix,0,0,0,,,,,,,
Kushneria,0,0,0,,,,,,,
Prevotella_9,0,0,0,,,,,,,
Methylophilus,0,0,0,,,,,,,
SM1A02,0,0,0,,,,,,,
Basilea,0,0,0,,,,,,,
Xenophilus,0,0,0,,,,,,,
Hymenobacter,0,0,0,,,,,,,
Marivita,0,0,0,,,,,,,
Knoellia,0,0,0,,,,,,,
Bacteriovorax,0,0,0,,,,,,,
Methylocaldum,0,0,0,,,,,,,
Halodurantibacterium,0,0,0,,,,,,,
Methylibium,0,0,0,,,,,,,
Huakuichenia,0,0,0,,,,,,,
Marinilactibacillus,0,0,0,,,,,,,
Vagococcus,0,0,0,,,,,,,
Oceanibulbus,0,0,0,,,,,,,
Blautia,0,0,0,,,,,,,
Defluviicoccus,0,0,0,,,,,,,
Lacibacter,0,0,0,,,,,,,
Alkalimonas,0,0,0,,,,,,,
Yonghaparkia,0,0,0,,,,,,,
Ureibacillus,0,0,0,,,,,,,
Methylobacterium,0,0,0,,,,,,,
Faecalibacterium,0,0,0,,,,,,,
Cellulosilyticum,0,0,0,,,,,,,
Candidatus_Methylospira,0,0,0,,,,,,,
Sandarakinorhabdus,0,0,0,,,,,,,
Atopobium,0,0,0,,,,,,,
Spongiivirga,0,0,0,,,,,,,
Kinneretia,0,0,0,,,,,,,
Sandaracinobacter,0,0,0,,,,,,,
CL500-29_marine_group,0,0,0,,,,,,,
Desulforhopalus,0,0,0,,,,,,,
Prevotella_7,0,0,0,,,,,,,
Agathobacter,0,0,0,,,,,,,
Mycoplana,0,0,0,,,,,,,
Holospora,0,0,0,,,,,,,
Salinirepens,0,0,0,,,,,,,
Chitinimonas,0,0,0,,,,,,,
Arthrobacter,0,0,0,,,,,,,
Pararhodospirillum,0,0,0,,,,,,,
Pseudacidovorax,0,0,0,,,,,,,
Methylocystis,0,0,0,,,,,,,
Actinomyces,0,0,0,,,,,,,
Clostridium_sensu_stricto_15,0,0,0,,,,,,,
Rivibacter,0,0,0,,,,,,,
Hypnocyclicus,0,0,0,,,,,,,
Lacunisphaera,0,0,0,,,,,,,
Cavicella,0,0,0,,,,,,,
Paludibaculum,0,0,0,,,,,,,
Paenibacillus,0,0,0,,,,,,,
Malikia,0,0,0,,,,,,,
Clostridium_sensu_stricto_4,0,0,0,,,,,,,
Rugamonas,0,0,0,,,,,,,
Asaccharospora,0,0,0,,,,,,,
Niveitalea,0,0,0,,,,,,,
Roseococcus,0,0,0,,,,,,,
Weeksella,0,0,0,,,,,,,
Caviibacter,0,0,0,,,,,,,
Anthococcus,0,0,0,,,,,,,
Aquincola,0,0,0,,,,,,,
Pseudoflavitalea,0,0,0,,,,,,,
Parablastomonas,0,0,0,,,,,,,
Desulfatiglans,0,0,0,,,,,,,
Cyanobium_PCC-6307,0,0,0,,,,,,,
Deinococcus,0,0,0,,,,,,,
Giesbergeria,0,0,0,,,,,,,
