Sample,Treatment,,,,
NP-113A-506-726,ZOOP_3_SF,,,,
NP-113B-507-726,ZOOP_3_S,,,,
NP-114A-508-726,ART_3_SF,,,,
NP-114B-510-726,ART_3_S,,,,
NP-115A-511-726,ZOOP_2_SF,,,,
NP-115B-513-726,ZOOP_2_S,,,,
NP-116-515-727,ART_2_S,,,,
NP-117A-516-727,ZOOP_2_SF,,,,
NP-117B-517-727,ZOOP_2_S,,,,
NP-118A-518-727,ZOOP_1_SF,,,,
NP-118B-520-727,ZOOP_1_S,,,,
NP-119A-521-727,ZOOP_1_SF,,,,
NP-119B-522-727,ZOOP_1_S,,,,
NP-120-502-727,ZOOPLANKTON_1_4,,,,
NP-121-503-727,ZOOPLANKTON_1_4,,,,
NP-122-505-727,ZOOPLANKTON_1_4,,,,
NP-123-506-727,ZOOPLANKTON_1_4,,,,
NP-126-510-728,ZOOPLANKTON_2_4,,,,
NP-127-511-728,ZOOPLANKTON_2_4,,,,
NP-128-513-728,ZOOPLANKTON_2_4,,,,
NP-129-515-728,ZOOPLANKTON_2_4,,,,
NP-132-518-723,ZOOPLANKTON_3_4,,,,
NP-133-520-723,ZOOPLANKTON_3_4,,,,
NP-134-521-723,ZOOPLANKTON_3_4,,,,
NP-135-522-729,ZOOPLANKTON_3_4,,,,
NP-139-506-729,ARTEMIA_1_4,,,,
NP-140-507-729,ARTEMIA_1_4,,,,
NP-141-508-729,ARTEMIA_1_4,,,,
NP-144-513-729,ARTEMIA_2_4,,,,
NP-145-515-729,ARTEMIA_2_4,,,,
NP-146-516-701,ARTEMIA_2_4,,,,
NP-147-517-701,ARTEMIA_2_4,,,,
NP-150-521-701,ARTEMIA_3_4,,,,
NP-151-522-701,ARTEMIA_3_4,,,,
NP-152-502-701,ARTEMIA_3_4,,,,
NP-153-503-701,ARTEMIA_3_4,,,,
ZOOP-159-510-702,ZOOP_CONT_1,,,,
ZOOP-160-511-702,ZOOP_WHOLE,,,,
ZOOP-163-516-702,ZOOP_CONT_2,,,,
ZOOP-167-521-702,ZOOP_1,,,,
ZOOP-168-522-703,ZOOP_2,,,,
ZOOP-169-502-703,ZOOP_3,,,,
